APPROX_DATE,Frequency,SOURCE,Frequency,SEX,Frequency,BIRTH_DATE,Frequency,AGE_AT_TEST,Frequency,AGE_GROUP,Frequency,IS_PEDIATRIC,Frequency,HEIGHT_BEST,Frequency,HEIGHT_CLEAN,Frequency,HEIGHT_FLAG,Frequency,WEIGHT_MEDIAN,Frequency,WEIGHT_LATEST,Frequency,WEIGHT_CLEAN,Frequency,WEIGHT_FLAG,Frequency,FEV1_BEST,Frequency,FVC_BEST,Frequency,FEV1_FVC_RATIO,Frequency,FEV1_MAX,Frequency,FVC_MAX,Frequency,MEASUREMENT_TYPE,Frequency,FEV1_POST,Frequency,FVC_POST,Frequency,FEV1_FVC_POST,Frequency,FEV1_CHANGE_L,Frequency,FEV1_CHANGE_PCT,Frequency,FVC_CHANGE_L,Frequency,FVC_CHANGE_PCT,Frequency,SIGNIFICANT_RESPONSE,Frequency,OBSTRUCTION,Frequency
,,,,,,,,,,,,,,158.5,358,149.0,301,,,105.0,600,102.0,660,52.0,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,166.5,358,167.5,282,,,52.0,560,99.0,654,103.0,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,168.5,348,166.5,269,,,99.0,537,53.0,640,99.0,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,169.5,342,148.0,268,,,102.0,520,103.0,637,102.0,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,172.5,340,168.5,233,,,104.0,500,52.0,627,104.0,634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,175.5,319,157.5,232,,,53.0,465,104.0,616,53.0,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,157.5,302,172.5,225,,,51.0,464,101.0,556,50.0,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,170.5,298,169.5,223,,,108.0,451,50.0,535,107.0,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,171.5,297,175.5,214,,,107.0,428,107.0,504,106.0,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,149.0,288,189.0,212,,,106.0,413,51.0,496,101.0,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,156.5,277,171.5,210,,,101.0,399,106.0,439,51.0,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,190.0,276,170.5,208,,,50.0,386,108.0,425,108.0,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,177.5,270,156.5,207,,,115.0,371,120.0,411,115.0,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,174.5,262,173.5,207,,,109.0,352,112.0,402,109.0,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,178.5,258,191.0,191,,,83.5,343,115.0,399,120.0,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,148.0,246,174.5,183,,,67.5,341,49.0,373,112.0,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,179.5,224,147.0,163,,,120.0,339,109.0,368,113.0,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
