APPROX_EVENT_DAY,Frequency,EVENT_AGE,Frequency,ATC,Frequency,VNR,Frequency,Substance,Frequency,MedicineName,Frequency,PackageSize,Frequency,DDDPerPack,Frequency,Dosage,Frequency,DosageUnit,Frequency,MERGED_SOURCE,Frequency,OMOP_CONCEPT_ID,Frequency,NOMESCO,Frequency,OMOP_CONCEPT_NAME,Frequency,AdministrationRoute,Frequency
2022-05-19,59,15.85,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-18,59,30.06,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23,59,34.632,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-31,59,17.074,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-13,59,41.841,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-27,59,37.052,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-09,59,34.711,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-02,59,43.56,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-23,59,52.398,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-07,59,43.867,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,59,29.372,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-19,59,43.44,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,59,26.591,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-18,59,37.6,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,59,65.54,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-19,59,65.902,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-18,59,55.372,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-25,59,55.55,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-07,59,38.64,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-24,59,53.8,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-09,59,55.698,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-30,59,55.216,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-09,59,58.75,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,58,64.9,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-10,58,41.551,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-26,58,42.356,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-30,58,41.57,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-03,58,50.126,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-04,58,43.174,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-25,58,16.71,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-17,58,62.679,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-11,58,71.92,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-19,58,41.14,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-13,58,43.125,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-24,58,33.956,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-11,58,44.62,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-17,58,71.4,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-25,58,44.36,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-29,58,46.167,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,58,52.264,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-14,58,29.86,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-12,58,54.49,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-26,58,58.715,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-24,58,59.996,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-18,58,40.269,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-03,58,57.929,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-23,58,44.76,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-17,57,34.9,14,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-19,57,39.38,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-28,57,45.6,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-28,57,32.217,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-21,57,39.27,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-04,57,64.15,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-16,57,47.311,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-14,57,32.683,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-25,57,37.764,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-09,57,72.322,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-23,57,52.56,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-15,57,47.81,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-21,57,54.06,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-13,57,54.783,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-10,57,37.34,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-18,57,31.831,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-08,57,52.73,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-13,57,43.087,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-02,57,40.228,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-04,57,30.5,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-20,57,69.85,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-09,57,40.858,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,57,72.24,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-16,57,21.668,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-23,57,50.14,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-26,57,40.76,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-20,57,48.738,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-11,57,60.82,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-01,57,65.157,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-25,57,35.536,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-29,57,50.057,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,56,62.46,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-21,56,51.087,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-17,56,52.01,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,56,34.878,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-04,56,52.07,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-03,56,43.251,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-05,56,62.082,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-10,56,50.742,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-20,56,36.472,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-23,56,49.973,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-11,56,57.34,13,,,,,,,,,,,,,,,,,,,,,,,,,,
