APPROX_EVENT_DAY,Frequency,EVENT_AGE,Frequency,ATC,Frequency,VNR,Frequency,Substance,Frequency,MedicineName,Frequency,PackageSize,Frequency,DDDPerPack,Frequency,Dosage,Frequency,DosageUnit,Frequency,MERGED_SOURCE,Frequency,OMOP_CONCEPT_ID,Frequency,NOMESCO,Frequency,OMOP_CONCEPT_NAME,Frequency,AdministrationRoute,Frequency
2022-11-25,48,53.192,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-23,48,58.641,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-13,48,35.79,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-26,48,53.63,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-29,48,36.075,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,48,32.297,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22,48,51.941,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-11,48,65.56,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-06,48,37.4,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-27,48,47.051,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-29,48,45.663,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-24,48,37.08,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-07,48,27.379,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-04,48,44.899,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-25,48,54.589,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-10,48,54.345,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-09,48,46.465,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,47,65.62,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-30,47,19.256,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-30,47,68.768,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-17,47,28.171,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-22,47,43.842,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-03,47,39.968,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-16,47,51.719,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-23,47,69.576,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-22,47,14.809,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-27,47,35.076,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-17,47,48.051,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-17,47,60.273,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-30,47,30.659,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-16,47,45.638,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-13,47,35.081,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-13,47,60.043,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-20,47,55.52,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-20,47,67.558,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-23,47,33.055,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-26,47,39.785,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-06,47,46.454,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-18,47,55.58,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-06,47,34.093,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-20,47,59.843,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-10,47,39.996,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-19,47,37.945,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-08,47,38.983,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,47,16.603,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,47,52.541,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,47,57.13,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-16,47,21.92,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-21,47,63.24,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-25,47,63.29,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-19,47,39.215,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,47,55.681,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-09,47,28.12,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-12,47,47.205,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-02,47,45.833,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,47,63.35,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-26,47,53.841,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-10,47,56.478,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-15,47,41.165,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-06,47,33.6,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-22,47,29.863,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,47,31.516,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-28,47,53.05,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-22,47,40.795,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-17,47,63.58,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-19,47,54.611,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-23,47,30.722,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-20,47,37.852,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08,47,39.683,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-04,47,54.854,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-23,47,56.697,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-10,47,38.21,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-28,47,48.694,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-31,47,51.81,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-12,47,40.382,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-31,47,46.849,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-24,47,56.286,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-24,47,66.2,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-12,47,56.284,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-17,47,31.3,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-09,47,53.882,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-17,47,49.001,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-18,47,31.9,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-06,46,48.53,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-12,46,53.406,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,46,33.561,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-28,46,36.855,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,46,38.09,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-02,46,38.468,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-07,46,42.4,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-23,46,48.45,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-12,46,48.661,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-14,46,16.315,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-20,46,31.963,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-14,46,54.657,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-18,46,49.461,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-30,46,75.72,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-18,46,55.454,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-11,46,65.31,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-30,46,38.698,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-07,46,48.899,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-17,46,37.206,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-24,46,40.976,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-06,46,61.08,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-09,46,32.735,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-08,46,64.1,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-07,46,62.474,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-31,46,43.04,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-25,46,51.385,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-17,46,59.052,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-05,46,59.295,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-06,46,32.507,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-01,46,66.003,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-14,46,50.375,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-16,46,35.859,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-02,46,15.152,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-21,46,71.074,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-10,46,37.698,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-06,46,47.837,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-24,46,37.217,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-09,46,42.378,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-27,46,51.5,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,46,61.33,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-29,46,28.86,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-07,46,51.7,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-14,46,43.172,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-13,46,27.634,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-12,46,64.692,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-18,46,50.148,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-22,46,54.602,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-06,46,28.436,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-23,46,29.405,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-03,46,38.049,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-11,46,28.68,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-17,46,48.604,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-28,46,51.15,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-05,46,48.836,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-28,46,36.215,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-15,46,38.78,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-07,46,60.1,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-04,46,29.676,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-23,46,54.816,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-01,46,57.737,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-16,46,46.06,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-11,46,29.049,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-26,46,49.858,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-16,46,44.111,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-31,46,59.342,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-21,46,64.804,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,46,48.814,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-26,46,57.502,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-19,46,59.331,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-02,45,42.758,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-16,45,44.53,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,45,35.577,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-25,45,43.322,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-27,45,52.464,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-01,45,29.071,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-14,45,32.54,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-28,45,56.88,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-23,45,58.321,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-05,45,44.28,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-03,45,44.27,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-08,45,36.152,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-07,45,68.068,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-03,45,52.286,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-01,45,60.785,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-01,45,52.045,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-28,45,44.541,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-07,45,30.96,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,45,60.555,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-25,45,71.29,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-12,45,45.373,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-13,45,42.728,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-12,45,27.442,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,45,56.938,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-12,45,38.2,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-18,45,58.526,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-16,45,29.98,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-10,45,54.485,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-25,45,35.152,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-20,45,55.284,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-23,45,46.89,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-28,45,54.43,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-20,45,46.72,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-14,45,14.27,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-23,45,46.109,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-22,45,53.411,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-02,45,46.61,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-28,45,55.027,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-15,45,54.471,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-28,45,54.214,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-19,45,54.66,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-09,45,55.251,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-26,45,35.193,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-01,45,66.42,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-20,45,52.439,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-25,45,47.369,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-22,45,51.624,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-11,45,45.743,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-22,45,51.892,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-13,45,46.783,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,45,33.173,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-15,45,44.85,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-07,45,44.727,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,45,68.27,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-21,45,46.15,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-28,45,54.498,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-15,45,65.828,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-09,45,56.42,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-03,45,38.613,11,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-04,45,39.574,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-04,45,53.959,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-22,45,40.13,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-26,45,53.967,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-21,45,64.13,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-26,45,39.15,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-02,45,40.08,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-10,45,54.504,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-18,45,52.33,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-16,45,52.39,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-10,45,32.436,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-19,45,52.36,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-02,45,56.341,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-16,45,31.889,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-31,45,52.45,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-30,45,52.46,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-16,45,32.203,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-04,45,64.33,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-03,45,43.079,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-18,45,76.27,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-01,45,43.065,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-12,45,53.765,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-11,45,16.206,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,45,31.837,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-16,45,54.786,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-09,45,54.542,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,45,32.409,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-21,45,51.917,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-16,45,53.981,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-24,45,32.642,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-19,45,55.336,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-27,45,53.989,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,45,31.817,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-10,45,42.465,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-18,45,66.378,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-25,45,54.915,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-11,45,55.706,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-21,45,43.043,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-24,45,29.57,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-12,45,30.32,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-04,44,43.295,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-29,44,63.769,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-30,44,29.23,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-08,44,40.412,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-03,44,56.325,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,44,53.912,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-14,44,54.956,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,44,29.32,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-08,44,53.921,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-13,44,53.923,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-13,44,55.985,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-25,44,29.17,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-26,44,43.673,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-07,44,43.451,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-05,44,42.881,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-06,44,41.857,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-11,44,44.491,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-26,44,42.895,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-10,44,54.184,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28,44,65.543,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-13,44,43.886,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-16,44,42.859,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-15,44,55.172,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-22,44,15.812,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-03,44,51.969,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-26,44,55.147,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-15,44,32.036,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-23,44,43.607,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-17,44,42.816,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-09,44,54.167,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-04,44,67.309,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-17,44,68.106,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-24,44,39.541,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-10,44,54.389,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-18,44,31.431,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-05,44,66.515,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-17,44,30.402,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,44,30.974,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-13,44,54.408,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-23,44,55.202,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-24,44,40.573,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-28,44,53.603,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-28,44,20.904,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-25,44,54.868,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-05-24,44,54.852,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-11,44,31.524,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-03,44,53.822,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,44,32.535,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-01,44,53.871,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-17,44,56.278,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-13,44,43.196,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-24,44,40.598,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-08,44,56.023,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,44,40.587,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,44,67.063,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-18,44,54.805,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-03,44,65.458,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-19,44,42.583,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,44,71.52,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-14,44,32.743,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-25,44,58.98,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30,44,67.293,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,44,52.188,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-06,44,66.266,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-20,44,54.841,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-28,44,44.157,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-26,44,54.821,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-19,44,42.561,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-02,44,66.077,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-07,43,67.096,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-03,43,42.331,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-13,43,44.352,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-11,43,43.319,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,43,44.65,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-03,43,56.65,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-19,43,66.885,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-09,43,58.17,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-02,43,67.454,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01,43,66.693,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-28,43,65.883,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-03,43,30.95,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-02,43,68.87,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-28,43,67.243,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-30,43,29.89,10,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-09,43,32.28,10,,,,,,,,,,,,,,,,,,,,,,,,,,
