DRUG,Frequency,DRUG_DEF,Frequency,VACCINE_PROTECTION,Frequency,PRODUCT_NUMBER,Frequency,METHOD,Frequency,INJECTION_SITE,Frequency,COVID,Frequency,VACCINATION_AGE,Frequency,APPROX_VACCINATION_DATE,Frequency
,,,,,,,,,,,,,,77.71,1197,2016-12-03,1890
,,,,,,,,,,,,,,68.61,1195,2016-10-28,1887
,,,,,,,,,,,,,,67.64,1193,2018-11-30,1884
,,,,,,,,,,,,,,72.5,1190,2023-12-17,1881
,,,,,,,,,,,,,,75.93,1190,2024-12-04,1879
,,,,,,,,,,,,,,77.25,1189,2022-08-20,1876
,,,,,,,,,,,,,,77.05,1189,2022-08-04,1876
,,,,,,,,,,,,,,68.38,1189,2022-12-19,1875
,,,,,,,,,,,,,,76.11,1188,2021-10-09,1874
,,,,,,,,,,,,,,76.66,1187,2022-08-24,1869
,,,,,,,,,,,,,,78.21,1187,2021-02-17,1867
,,,,,,,,,,,,,,70.54,1186,2014-12-01,1866
,,,,,,,,,,,,,,77.12,1186,2016-12-04,1859
,,,,,,,,,,,,,,70.0,1185,2021-09-10,1858
,,,,,,,,,,,,,,77.35,1185,2021-10-10,1857
,,,,,,,,,,,,,,70.37,1183,2016-12-05,1854
,,,,,,,,,,,,,,76.02,1182,2022-08-07,1854
,,,,,,,,,,,,,,76.08,1182,2021-09-09,1852
,,,,,,,,,,,,,,69.56,1181,2018-10-23,1852
,,,,,,,,,,,,,,76.95,1181,2021-02-16,1850
,,,,,,,,,,,,,,76.97,1178,2013-11-11,1849
,,,,,,,,,,,,,,77.28,1175,2022-12-21,1847
,,,,,,,,,,,,,,64.72,1175,2022-08-21,1847
,,,,,,,,,,,,,,68.24,1175,2021-10-08,1846
,,,,,,,,,,,,,,69.62,1174,2021-09-05,1845
,,,,,,,,,,,,,,77.75,1174,2021-10-05,1841
,,,,,,,,,,,,,,64.49,1173,2022-02-04,1841
,,,,,,,,,,,,,,64.97,1173,2019-12-14,1840
,,,,,,,,,,,,,,67.41,1172,2021-10-06,1839
,,,,,,,,,,,,,,76.91,1172,2022-08-06,1824
,,,,,,,,,,,,,,71.23,1171,2014-11-05,1820
,,,,,,,,,,,,,,64.48,1169,2021-09-14,1818
,,,,,,,,,,,,,,64.63,1169,2021-09-04,1813
,,,,,,,,,,,,,,69.65,1169,2022-08-05,1809
,,,,,,,,,,,,,,72.7,1168,2022-10-11,1806
,,,,,,,,,,,,,,64.43,1167,2017-11-30,1803
,,,,,,,,,,,,,,77.29,1167,2015-12-03,1802
,,,,,,,,,,,,,,76.94,1167,2016-10-27,1801
,,,,,,,,,,,,,,69.48,1166,2013-11-24,1799
,,,,,,,,,,,,,,70.63,1166,2021-10-04,1799
,,,,,,,,,,,,,,77.11,1165,2014-11-30,1795
,,,,,,,,,,,,,,77.14,1165,2013-11-10,1792
,,,,,,,,,,,,,,72.55,1164,2013-11-27,1783
,,,,,,,,,,,,,,70.45,1164,2019-11-09,1777
,,,,,,,,,,,,,,64.51,1163,2014-11-29,1776
,,,,,,,,,,,,,,67.38,1161,2021-02-15,1776
,,,,,,,,,,,,,,64.85,1161,2022-08-03,1776
,,,,,,,,,,,,,,70.31,1160,2014-12-02,1768
,,,,,,,,,,,,,,77.41,1160,2013-11-29,1759
,,,,,,,,,,,,,,75.46,1160,2013-11-28,1759
,,,,,,,,,,,,,,70.25,1159,2022-08-26,1754
,,,,,,,,,,,,,,77.74,1159,2020-12-03,1749
,,,,,,,,,,,,,,68.56,1159,2013-11-09,1749
,,,,,,,,,,,,,,68.15,1159,2022-12-22,1747
,,,,,,,,,,,,,,69.85,1157,2021-09-16,1741
,,,,,,,,,,,,,,70.14,1157,2021-09-11,1738
,,,,,,,,,,,,,,69.39,1157,2017-10-23,1738
,,,,,,,,,,,,,,69.79,1157,2022-12-20,1737
,,,,,,,,,,,,,,64.94,1157,2021-09-15,1735
,,,,,,,,,,,,,,77.67,1156,2021-02-12,1734
,,,,,,,,,,,,,,69.76,1155,2015-11-01,1732
,,,,,,,,,,,,,,64.45,1154,2019-11-08,1728
,,,,,,,,,,,,,,64.95,1154,2021-09-13,1726
,,,,,,,,,,,,,,70.17,1153,2013-11-08,1724
,,,,,,,,,,,,,,70.43,1152,2020-10-18,1724
,,,,,,,,,,,,,,69.53,1152,2016-12-06,1720
,,,,,,,,,,,,,,72.27,1151,2023-12-18,1718
,,,,,,,,,,,,,,72.73,1151,2021-09-30,1716
,,,,,,,,,,,,,,75.52,1151,2018-12-01,1705
,,,,,,,,,,,,,,77.03,1151,2019-11-07,1704
,,,,,,,,,,,,,,64.83,1151,2024-09-16,1703
,,,,,,,,,,,,,,64.42,1150,2014-12-03,1703
,,,,,,,,,,,,,,64.52,1150,2023-12-19,1698
,,,,,,,,,,,,,,77.84,1150,2013-11-07,1697
,,,,,,,,,,,,,,70.74,1149,2022-08-29,1690
,,,,,,,,,,,,,,68.5,1149,2021-02-11,1688
,,,,,,,,,,,,,,68.47,1147,2021-10-01,1687
,,,,,,,,,,,,,,73.79,1146,2021-09-29,1682
,,,,,,,,,,,,,,77.58,1145,2016-10-26,1682
,,,,,,,,,,,,,,77.8,1145,2013-11-30,1675
,,,,,,,,,,,,,,70.2,1144,2021-02-13,1673
,,,,,,,,,,,,,,78.27,1144,2022-08-30,1673
,,,,,,,,,,,,,,68.53,1143,2022-08-02,1670
,,,,,,,,,,,,,,78.17,1143,2014-11-04,1657
,,,,,,,,,,,,,,64.25,1142,2022-08-27,1657
,,,,,,,,,,,,,,64.92,1142,2022-08-28,1649
,,,,,,,,,,,,,,64.66,1141,2021-09-12,1644
,,,,,,,,,,,,,,67.61,1141,2015-10-31,1640
,,,,,,,,,,,,,,70.68,1140,2022-02-05,1638
,,,,,,,,,,,,,,77.51,1140,2021-10-02,1632
,,,,,,,,,,,,,,71.63,1140,2013-11-06,1629
,,,,,,,,,,,,,,74.34,1139,2022-12-23,1627
,,,,,,,,,,,,,,72.76,1139,2022-08-01,1623
,,,,,,,,,,,,,,72.15,1138,2024-12-05,1622
,,,,,,,,,,,,,,77.69,1138,2021-09-20,1622
,,,,,,,,,,,,,,77.08,1138,2021-02-14,1617
,,,,,,,,,,,,,,64.8,1138,2021-09-28,1616
,,,,,,,,,,,,,,69.25,1137,2018-12-03,1609
,,,,,,,,,,,,,,64.81,1137,2021-10-03,1604
,,,,,,,,,,,,,,78.23,1137,2019-11-06,1601
,,,,,,,,,,,,,,64.35,1136,2017-12-01,1596
,,,,,,,,,,,,,,64.55,1136,2015-10-29,1595
,,,,,,,,,,,,,,72.24,1136,2021-09-21,1594
,,,,,,,,,,,,,,67.69,1136,2013-12-02,1594
,,,,,,,,,,,,,,69.74,1136,2015-10-30,1593
,,,,,,,,,,,,,,71.55,1136,2022-10-10,1593
,,,,,,,,,,,,,,71.32,1136,2020-10-17,1588
,,,,,,,,,,,,,,66.57,1136,2019-12-15,1582
,,,,,,,,,,,,,,74.19,1135,2021-09-17,1580
,,,,,,,,,,,,,,77.61,1135,2020-12-04,1579
,,,,,,,,,,,,,,75.78,1135,2016-12-07,1578
,,,,,,,,,,,,,,73.53,1135,2022-08-31,1578
,,,,,,,,,,,,,,68.64,1135,2021-09-23,1570
,,,,,,,,,,,,,,68.12,1135,2020-10-16,1567
,,,,,,,,,,,,,,70.4,1134,2017-10-22,1566
,,,,,,,,,,,,,,75.26,1134,2018-12-02,1565
,,,,,,,,,,,,,,77.6,1134,2019-12-16,1564
,,,,,,,,,,,,,,64.46,1133,2024-09-12,1558
,,,,,,,,,,,,,,78.26,1133,2021-09-24,1556
,,,,,,,,,,,,,,69.88,1132,2021-09-18,1552
,,,,,,,,,,,,,,70.66,1132,2023-12-20,1549
,,,,,,,,,,,,,,72.53,1131,2021-09-27,1548
,,,,,,,,,,,,,,70.48,1131,2021-02-10,1546
,,,,,,,,,,,,,,77.55,1131,2024-09-14,1539
,,,,,,,,,,,,,,65.02,1131,2022-07-27,1527
,,,,,,,,,,,,,,71.43,1131,2015-12-04,1523
,,,,,,,,,,,,,,73.36,1131,2023-10-18,1520
,,,,,,,,,,,,,,78.15,1131,2022-07-28,1517
,,,,,,,,,,,,,,69.3,1131,2024-12-06,1514
,,,,,,,,,,,,,,64.17,1130,2024-09-13,1512
,,,,,,,,,,,,,,64.88,1130,2013-12-01,1512
,,,,,,,,,,,,,,70.77,1129,2022-07-29,1511
,,,,,,,,,,,,,,69.42,1129,2022-09-01,1510
,,,,,,,,,,,,,,77.37,1129,2022-02-07,1498
,,,,,,,,,,,,,,71.49,1129,2018-10-22,1496
,,,,,,,,,,,,,,64.6,1129,2020-10-15,1494
,,,,,,,,,,,,,,64.91,1129,2024-09-15,1489
,,,,,,,,,,,,,,70.57,1128,2021-09-26,1485
,,,,,,,,,,,,,,66.8,1128,2022-07-30,1472
,,,,,,,,,,,,,,77.44,1127,2021-09-22,1470
,,,,,,,,,,,,,,78.24,1127,2021-02-09,1470
,,,,,,,,,,,,,,77.43,1126,2024-09-11,1468
,,,,,,,,,,,,,,73.76,1126,2018-12-04,1468
,,,,,,,,,,,,,,71.4,1125,2022-02-06,1468
,,,,,,,,,,,,,,64.62,1124,2023-12-21,1466
,,,,,,,,,,,,,,67.72,1124,2022-02-08,1458
,,,,,,,,,,,,,,77.02,1124,2021-09-19,1457
,,,,,,,,,,,,,,71.61,1124,2019-12-17,1451
,,,,,,,,,,,,,,78.2,1123,2022-07-31,1451
,,,,,,,,,,,,,,69.22,1123,2022-12-24,1438
,,,,,,,,,,,,,,77.38,1123,2021-02-08,1432
,,,,,,,,,,,,,,77.83,1123,2015-10-28,1431
,,,,,,,,,,,,,,64.75,1123,2021-09-25,1431
,,,,,,,,,,,,,,73.48,1122,2015-12-05,1429
,,,,,,,,,,,,,,78.03,1122,2013-12-03,1428
,,,,,,,,,,,,,,69.28,1121,2013-12-04,1425
,,,,,,,,,,,,,,70.34,1121,2014-12-04,1416
,,,,,,,,,,,,,,69.91,1120,2022-09-02,1412
,,,,,,,,,,,,,,71.46,1120,2018-12-05,1400
,,,,,,,,,,,,,,69.1,1120,2013-11-05,1398
,,,,,,,,,,,,,,69.51,1119,2020-12-05,1396
,,,,,,,,,,,,,,77.66,1119,2020-10-14,1393
,,,,,,,,,,,,,,74.17,1118,2017-12-02,1393
,,,,,,,,,,,,,,64.37,1117,2016-10-25,1390
,,,,,,,,,,,,,,69.68,1117,2019-12-18,1386
,,,,,,,,,,,,,,66.66,1117,2019-11-05,1384
,,,,,,,,,,,,,,72.32,1116,2022-12-26,1383
,,,,,,,,,,,,,,77.46,1116,2012-11-15,1383
,,,,,,,,,,,,,,71.69,1116,2012-11-14,1379
,,,,,,,,,,,,,,66.37,1116,2017-10-19,1379
,,,,,,,,,,,,,,72.44,1115,2024-09-10,1378
,,,,,,,,,,,,,,77.32,1115,2021-02-04,1378
,,,,,,,,,,,,,,75.63,1115,2014-11-03,1376
,,,,,,,,,,,,,,64.71,1115,2020-12-06,1372
,,,,,,,,,,,,,,72.21,1114,2024-12-07,1370
,,,,,,,,,,,,,,65.48,1114,2023-10-17,1369
,,,,,,,,,,,,,,78.12,1114,2021-02-03,1368
,,,,,,,,,,,,,,77.95,1113,2021-02-05,1367
,,,,,,,,,,,,,,77.97,1113,2022-12-28,1362
,,,,,,,,,,,,,,64.2,1113,2024-12-09,1361
,,,,,,,,,,,,,,68.44,1113,2024-12-08,1357
,,,,,,,,,,,,,,72.61,1112,2015-12-06,1355
,,,,,,,,,,,,,,69.45,1112,2015-12-07,1355
,,,,,,,,,,,,,,68.41,1112,2012-11-20,1353
,,,,,,,,,,,,,,71.17,1112,2017-10-21,1353
,,,,,,,,,,,,,,68.84,1112,2021-02-06,1350
,,,,,,,,,,,,,,78.06,1112,2012-11-19,1348
,,,,,,,,,,,,,,66.51,1112,2017-12-03,1346
,,,,,,,,,,,,,,66.54,1112,2022-12-25,1339
,,,,,,,,,,,,,,74.74,1111,2024-09-09,1338
,,,,,,,,,,,,,,64.68,1111,2017-10-20,1333
,,,,,,,,,,,,,,73.85,1111,2012-11-13,1326
,,,,,,,,,,,,,,68.58,1111,2012-11-18,1324
,,,,,,,,,,,,,,71.06,1111,2017-12-04,1324
,,,,,,,,,,,,,,66.46,1111,2022-12-27,1322
,,,,,,,,,,,,,,64.65,1110,2021-02-07,1322
,,,,,,,,,,,,,,71.72,1110,2012-11-16,1320
,,,,,,,,,,,,,,71.81,1110,2020-10-13,1320
,,,,,,,,,,,,,,78.36,1110,2024-09-08,1318
,,,,,,,,,,,,,,70.22,1109,2022-07-26,1318
,,,,,,,,,,,,,,67.92,1109,2022-02-09,1318
,,,,,,,,,,,,,,77.87,1109,2012-11-17,1316
,,,,,,,,,,,,,,71.78,1109,2012-11-12,1308
,,,,,,,,,,,,,,64.57,1108,2022-09-04,1307
,,,,,,,,,,,,,,68.33,1108,2017-10-18,1301
,,,,,,,,,,,,,,68.67,1108,2024-09-06,1299
