DRUG,Frequency,DRUG_DEF,Frequency,VACCINE_PROTECTION,Frequency,PRODUCT_NUMBER,Frequency,METHOD,Frequency,INJECTION_SITE,Frequency,COVID,Frequency,VACCINATION_AGE,Frequency,APPROX_VACCINATION_DATE,Frequency
,,Influenssarokote,70,,,,,,,,,,,75.59,1473,2021-05-06,4579
,,Co19 1,70,,,,,,,,,,,68.77,1473,2021-07-09,4553
,,HABIII,70,,,,,,,,,,,69.89,1472,2021-05-05,4547
,,INF5,69,,,,,,,,,,,67.85,1472,2021-10-28,4546
,,INFSAI,67,,,,,,,,,,,73.8,1471,2021-10-30,4539
,,Encepur,67,,,,,,,,,,,66.64,1471,2021-04-23,4533
,,Kor1,67,,,,,,,,,,,69.87,1470,2021-05-04,4512
,,MPRa,67,,,,,,,,,,,72.54,1470,2021-04-29,4512
,,MEACWY,67,,,,,,,,,,,72.86,1470,2024-10-10,4507
,,TETANUS,66,,,,,,,,,,,70.39,1470,2021-07-20,4503
,,* Influ, Influenssaroko,66,,,,,,,,,,,71.11,1470,2023-12-06,4488
,,IPVTEH,66,,,,,,,,,,,71.39,1470,2021-07-03,4486
,,A+BHE3,66,,,,,,,,,,,68.13,1470,2021-07-10,4459
,,POLIO,65,,,,,,,,,,,70.7,1469,2021-07-04,4456
,,HABII,64,,,,,,,,,,,71.33,1469,2021-04-20,4447
,,Polio,64,,,,,,,,,,,66.55,1469,2020-11-10,4447
,,A+BHE2,64,,,,,,,,,,,69.98,1468,2021-04-24,4446
,,PUUTIA III,64,,,,,,,,,,,75.65,1468,2021-07-16,4443
,,fluarix,64,,,,,,,,,,,68.32,1468,2023-10-30,4433
,,Imovax d.T,63,,,,,,,,,,,68.94,1468,2021-05-16,4425
,,MPRV,63,,,,,,,,,,,69.12,1467,2020-11-11,4423
,,INRR,63,,,,,,,,,,,73.43,1467,2021-07-11,4421
,,Havrix,62,,,,,,,,,,,72.17,1466,2021-05-07,4419
,,HABVY I,62,,,,,,,,,,,70.85,1466,2021-07-21,4418
,,IPV3,61,,,,,,,,,,,72.49,1466,2021-04-30,4417
,,dtap6,61,,,,,,,,,,,69.03,1466,2024-11-15,4408
,,TetdT,61,,,,,,,,,,,75.56,1466,2021-10-27,4405
,,HABI,60,,,,,,,,,,,71.27,1466,2024-11-16,4399
,,INFths,59,,,,,,,,,,,66.5,1465,2021-07-17,4386
,,* Influ, Influens,59,,,,,,,,,,,72.75,1464,2021-04-26,4383
,,HAEP1,59,,,,,,,,,,,68.71,1464,2024-10-09,4375
,,HABVY III,59,,,,,,,,,,,67.6,1463,2021-04-25,4371
,,TBETEH,58,,,,,,,,,,,70.99,1463,2024-11-18,4358
,,INFA65,57,,,,,,,,,,,72.71,1463,2022-01-21,4354
,,Vaxigrip tetra,56,,,,,,,,,,,74.23,1463,2021-05-08,4348
,,HABVYH,56,,,,,,,,,,,67.57,1463,2021-05-15,4344
,,Covid5,55,,,,,,,,,,,75.3,1463,2020-11-09,4321
,,diTe 4,54,,,,,,,,,,,73.52,1463,2021-05-10,4317
,,VYORU,54,,,,,,,,,,,73.4,1462,2021-07-19,4304
,,* Influ, Influenssarok,53,,,,,,,,,,,73.46,1462,2020-11-06,4280
,,PUUTI4,53,,,,,,,,,,,68.89,1462,2020-11-05,4278
,,TET-DT,53,,,,,,,,,,,69.54,1461,2021-04-14,4275
,,IPV2,52,,,,,,,,,,,75.47,1461,2020-11-13,4274
,,PREVE,52,,,,,,,,,,,75.41,1461,2021-05-03,4267
,,tetanus,52,,,,,,,,,,,73.17,1461,2021-07-18,4257
,,INFLR,52,,,,,,,,,,,68.34,1461,2021-04-19,4242
,,Puuta2,51,,,,,,,,,,,68.82,1461,2021-07-22,4224
,,Td-pur,51,,,,,,,,,,,72.82,1460,2021-04-16,4212
,,List truncated...,,,,,,,,,,,,67.56,1460,2020-11-12,4211
,,,,,,,,,,,,,,68.83,1460,2020-11-16,4206
,,,,,,,,,,,,,,66.62,1460,2020-11-07,4206
,,,,,,,,,,,,,,74.44,1459,2024-11-17,4203
,,,,,,,,,,,,,,70.1,1459,2020-11-14,4202
,,,,,,,,,,,,,,75.16,1459,2022-01-24,4189
,,,,,,,,,,,,,,66.15,1459,2024-10-08,4188
,,,,,,,,,,,,,,66.38,1459,2022-10-25,4183
,,,,,,,,,,,,,,72.39,1458,2023-12-07,4178
,,,,,,,,,,,,,,65.57,1458,2022-01-22,4175
,,,,,,,,,,,,,,66.58,1458,2021-04-17,4172
,,,,,,,,,,,,,,75.51,1456,2021-04-15,4167
,,,,,,,,,,,,,,68.98,1456,2018-11-14,4158
,,,,,,,,,,,,,,68.29,1456,2021-05-01,4155
,,,,,,,,,,,,,,70.78,1455,2021-10-26,4155
