BIRTH_YEAR,Frequency,APPROX_BIRTH_DATE,Frequency,PARITY,Frequency,NRO_CHILD,Frequency,NRO_FETUSES,Frequency,CHILD_SEX,Frequency,MOTHER_AGE,Frequency,MOTHER_WEIGHT,Frequency,MOTHER_HEIGHT,Frequency,SMOKING,Frequency,DURATION_WEEKS,Frequency,DURATION_DAYS,Frequency,ORDER,Frequency,SDIAG1,Frequency,SDIAG2,Frequency,SDIAG3,Frequency,SDIAG4,Frequency,SDIAG5,Frequency,SDIAG6,Frequency,SDIAG7,Frequency,SDIAG8,Frequency,SDIAG9,Frequency,SDIAG10,Frequency,RDIAG1,Frequency,RDIAG2,Frequency,RDIAG3,Frequency,RDIAG4,Frequency,RDIAG5,Frequency,RDIAG6,Frequency,RDIAG7,Frequency,RDIAG8,Frequency,RDIAG9,Frequency,RDIAG10,Frequency,MATUR_THREAT,Frequency,INSEM,Frequency,IVF,Frequency,ICSI,Frequency,PAS,Frequency,GAMETE_DONAT,Frequency,RKOURIS,Frequency,MOTHER_BLOOD_PRES,Frequency,MOTHER_BLEEDING,Frequency,OTHER_PREG_DIAB_THREAT,Frequency,DIABETES,Frequency,GLUC,Frequency,GLUC_PATOL,Frequency,INS_THREAT_INIT,Frequency,PREM,Frequency
1998,7411,,,,,,,,,,,27.67,365,74,1768,177,972,,,,,,,,,6440B,376,O750,412,E6601,241,O631,115,O820,55,,,,,,,,,,,O366,514,O288,274,O410,171,O471,108,O48,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,7325,,,,,,,,,,,28.93,365,78,1656,154,732,,,,,,,,,O720,376,O235,405,O365,239,O992,111,O640,55,,,,,,,,,,,O140,488,O992,272,Z352,168,Z718,108,O471,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,7285,,,,,,,,,,,27.02,364,76,1470,180,703,,,,,,,,,O342,354,O365,393,Z302,236,O235,109,Z302,55,,,,,,,,,,,O365,481,O993,271,Z718,162,Z360,108,O2682,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,7137,,,,,,,,,,,25.41,362,71,1451,153,667,,,,,,,,,6611B,315,O13,377,O240,230,Z372,104,List truncated...,,,,,,,,,,,,O471,462,O410,266,O368,162,O410,106,Z352,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,6955,,,,,,,,,,,25.57,362,50,1397,152,495,,,,,,,,,O842,311,O700,330,O321,214,O993,100,,,,,,,,,,,,,Z321,418,O266,264,Z364,161,O9989,104,O249,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,6911,,,,,,,,,,,26.91,362,85,1340,179,403,,,,,,,,,O701,302,O240,324,O411,204,O630,100,,,,,,,,,,,,,6424A,405,O9989,262,E039,159,O149,89,R103,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,6888,,,,,,,,,,,26.07,361,77,1319,150,277,,,,,,,,,O640,294,O702,309,O429,200,O800,98,,,,,,,,,,,,,E6601,371,O100,259,O9989,144,Z352,87,O368,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,6677,,,,,,,,,,,27.25,360,82,1260,181,249,,,,,,,,,6510B,293,O429,301,O235,197,O429,90,,,,,,,,,,,,,O100,369,Z352,252,R104,139,Z364,86,O149,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,6656,,,,,,,,,,,27.71,360,90,1093,182,210,,,,,,,,,O366,290,Z302,272,O410,174,O808,86,,,,,,,,,,,,,O288,350,Z718,221,O240,138,O479,83,O9989,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6595,,,,,,,,,,,26.17,360,83,1018,151,157,,,,,,,,,O321,284,V252A,267,O702,168,O249,79,,,,,,,,,,,,,O358,337,O368,217,O100,138,O2682,80,List truncated...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,6577,,,,,,,,,,,28.06,360,51,1010,183,125,,,,,,,,,O48,267,O610,252,O992,164,E039,76,,,,,,,,,,,,,O149,331,Z875,205,Z875,135,Z875,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,6554,,,,,,,,,,,27.09,359,79,997,184,74,,,,,,,,,6622B,258,O411,247,Z358,155,O321,76,,,,,,,,,,,,,6423A,327,O358,205,O149,121,O266,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,6476,,,,,,,,,,,26.8,359,84,912,149,57,,,,,,,,,O683,248,O730,244,O993,154,O240,76,,,,,,,,,,,,,O2682,309,R104,183,O2682,118,Z321,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,6446,,,,,,,,,,,26.68,359,86,810,148,56,,,,,,,,,6531B,240,O421,239,O714,145,E669,74,,,,,,,,,,,,,R104,297,O149,163,O266,117,O40,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,6409,,,,,,,,,,,26.45,359,88,769,185,51,,,,,,,,,O821,233,E6601,236,O700,143,O750,72,,,,,,,,,,,,,Z352,294,O140,161,O358,116,R103,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,6368,,,,,,,,,,,28.03,359,87,768,List truncated...,,,,,,,,,,O688,229,O410,236,Z372,130,O410,69,,,,,,,,,,,,,Z370,279,O680,160,O288,115,R104,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,6307,,,,,,,,,,,25.91,358,95,715,,,,,,,,,,,O610,227,O369,236,O691,128,O9989,66,,,,,,,,,,,,,6400A,275,Z321,158,O140,107,Z359,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,6208,,,,,,,,,,,25.18,358,81,700,,,,,,,,,,,O848,218,Z358,219,O648,126,O714,61,,,,,,,,,,,,,O368,271,E039,155,O40,106,O288,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,6195,,,,,,,,,,,26.11,358,49,665,,,,,,,,,,,6534B,204,O681,210,O249,126,O421,55,,,,,,,,,,,,,O993,250,O2682,146,O479,103,O820,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,6126,,,,,,,,,,,26.03,358,92,627,,,,,,,,,,,O235,203,O682,205,O610,122,List truncated...,,,,,,,,,,,,,,R103,237,R103,146,Z359,100,E669,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
