SOURCE	CODE1	CODE2	CODE3	vocabulary	n_events	n_patients
CANC	C421	9671	3	canc	16	16
CANC	C421	9673	3	canc	69	68
CANC	C421	9680	3	canc	41	41
CANC	C421	9690	3	canc	14	14
CANC	C421	9691	3	canc	34	34
CANC	C421	9695	3	canc	6	6
CANC	C421	9698	3	canc	8	8
CANC	C421	9699	3	canc	18	18
CANC	C421	9702	3	canc	6	6
CANC	C421	9731	3	canc	17	17
CANC	C421	9732	3	canc	636	636
CANC	C421	9741	3	canc	28	28
CANC	C421	9800	3	canc	17	17
CANC	C421	9801	3	canc	24	24
CANC	C421	9811	3	canc	34	34
CANC	C421	9823	3	canc	624	624
CANC	C421	9831	3	canc	18	18
CANC	C421	9835	3	canc	182	182
CANC	C421	9836	3	canc	6	6
CANC	C421	9837	3	canc	11	11
CANC	C421	9860	3	canc	23	23
CANC	C421	9861	3	canc	236	236
CANC	C421	9863	3	canc	112	112
CANC	C421	9866	3	canc	10	10
CANC	C421	9867	3	canc	7	7
CANC	C421	9873	3	canc	11	11
CANC	C421	9875	3	canc	9	9
CANC	C421	9891	3	canc	16	16
CANC	C421	9920	3	canc	9	9
CANC	C421	9940	3	canc	67	67
CANC	C421	9945	3	canc	31	31
CANC	C421	9950	3	canc	246	246
CANC	C421	9960	3	canc	113	113
CANC	C421	9961	3	canc	145	145
CANC	C421	9962	3	canc	233	233
CANC	C421	9980	3	canc	9	9
CANC	C421	9982	3	canc	11	11
CANC	C421	9983	3	canc	32	32
CANC	C421	9985	3	canc	8	8
CANC	C421	9989	3	canc	116	116
CANC	C422	9680	3	canc	12	12
CANC	C422	9689	3	canc	26	26
CANC	C440	8070	3	canc	44	44
CANC	C440	8090	3	canc	234	231
CANC	C441	8070	3	canc	30	30
CANC	C441	8090	3	canc	688	685
CANC	C441	8097	3	canc	9	9
CANC	C441	8410	3	canc	8	8
CANC	C441	8720	3	canc	9	9
CANC	C442	8070	3	canc	236	236
CANC	C442	8090	3	canc	568	567
CANC	C442	8094	3	canc	6	6
CANC	C442	8097	3	canc	13	13
CANC	C442	8720	3	canc	49	49
CANC	C443	8070	3	canc	629	629
CANC	C443	8090	3	canc	5167	5118
CANC	C443	8094	3	canc	29	29
CANC	C443	8097	3	canc	39	39
CANC	C443	8247	3	canc	9	9
CANC	C443	8720	3	canc	141	141
CANC	C443	8721	3	canc	6	6
CANC	C443	8742	2	canc	13	13
CANC	C443	8742	3	canc	28	28
CANC	C443	8743	3	canc	8	8
CANC	C444	8070	3	canc	141	141
CANC	C444	8090	3	canc	886	880
CANC	C444	8097	3	canc	6	6
CANC	C444	8720	3	canc	87	87
CANC	C444	8743	3	canc	10	10
CANC	C445	8070	3	canc	186	186
CANC	C445	8090	3	canc	2345	2332
CANC	C445	8091	3	canc	11	11
CANC	C445	8097	3	canc	16	16
CANC	C445	8542	3	canc	8	8
CANC	C445	8720	2	canc	14	14
CANC	C445	8720	3	canc	867	867
CANC	C445	8721	3	canc	19	19
CANC	C445	8742	3	canc	22	22
CANC	C445	8743	3	canc	104	104
CANC	C445	8832	3	canc	38	38
CANC	C445	9591	3	canc	8	8
CANC	C445	9700	3	canc	29	29
CANC	C446	8070	3	canc	149	149
CANC	C446	8090	3	canc	562	562
CANC	C446	8720	2	canc	16	16
CANC	C446	8720	3	canc	413	412
CANC	C446	8721	3	canc	9	9
CANC	C446	8742	3	canc	7	7
CANC	C446	8743	3	canc	34	34
CANC	C446	8832	3	canc	15	15
CANC	C446	9700	3	canc	9	9
CANC	C447	8070	3	canc	115	115
CANC	C447	8090	3	canc	374	374
CANC	C447	8247	3	canc	8	8
CANC	C447	8720	2	canc	16	16
CANC	C447	8720	3	canc	482	482
CANC	C447	8721	3	canc	14	14
CANC	C447	8743	3	canc	45	45
CANC	C447	8744	3	canc	7	7
CANC	C447	8832	3	canc	16	16
CANC	C447	9140	3	canc	16	16
CANC	C447	9700	3	canc	11	11
CANC	C448	8070	3	canc	6	6
CANC	C448	8090	3	canc	32	32
CANC	C448	8720	3	canc	8	8
CANC	C449	8000	3	canc	6	6
CANC	C449	8070	3	canc	980	979
CANC	C449	8071	3	canc	29	29
CANC	C449	8076	3	canc	9	9
CANC	C449	8090	3	canc	7927	7861
CANC	C449	8091	3	canc	191	191
CANC	C449	8092	3	canc	18	18
CANC	C449	8093	3	canc	7	7
CANC	C449	8094	3	canc	48	48
CANC	C449	8095	3	canc	10	10
CANC	C449	8097	3	canc	755	755
CANC	C449	8720	2	canc	196	196
CANC	C449	8720	3	canc	763	763
CANC	C449	8721	3	canc	22	22
CANC	C449	8742	2	canc	65	65
CANC	C449	8742	3	canc	23	23
CANC	C449	8743	3	canc	171	171
CANC	C449	8744	3	canc	10	10
CANC	C449	8832	3	canc	10	10
CANC	C449	9690	3	canc	6	6
CANC	C449	9700	3	canc	59	59
CANC	C480	8850	3	canc	12	12
CANC	C480	8858	3	canc	7	7
CANC	C480	8890	3	canc	11	11
CANC	C480	9680	3	canc	8	8
CANC	C481	8461	3	canc	19	19
CANC	C482	8460	3	canc	6	6
CANC	C482	8461	3	canc	26	26
CANC	C482	9050	3	canc	7	7
CANC	C482	9052	3	canc	7	7
CANC	C490	9680	3	canc	14	14
CANC	C491	8800	3	canc	14	14
CANC	C491	8810	3	canc	7	7
CANC	C491	8811	3	canc	8	8
CANC	C491	8830	3	canc	7	7
CANC	C491	8850	3	canc	18	18
CANC	C491	8890	3	canc	13	13
CANC	C492	8800	3	canc	33	33
CANC	C492	8802	3	canc	9	9
CANC	C492	8810	3	canc	7	7
CANC	C492	8811	3	canc	8	8
CANC	C492	8830	3	canc	14	14
CANC	C492	8850	3	canc	44	44
CANC	C492	8852	3	canc	9	9
CANC	C492	8890	3	canc	27	27
CANC	C492	9040	3	canc	11	11
CANC	C492	9680	3	canc	9	9
CANC	C493	9680	3	canc	9	9
CANC	C494	8850	3	canc	7	7
CANC	C494	8890	3	canc	11	11
CANC	C494	9680	3	canc	7	7
CANC	C496	8830	3	canc	10	10
CANC	C496	8850	3	canc	20	20
CANC	C500	8500	3	canc	8	8
CANC	C500	8540	3	canc	9	9
CANC	C501	8480	3	canc	17	17
CANC	C501	8500	2	canc	16	16
CANC	C501	8500	3	canc	393	393
CANC	C501	8507	3	canc	8	8
CANC	C501	8520	3	canc	105	105
CANC	C501	8522	3	canc	29	29
CANC	C501	8523	3	canc	8	8
CANC	C501	8541	3	canc	6	6
CANC	C501	8543	3	canc	6	6
CANC	C502	8211	3	canc	19	19
CANC	C502	8480	3	canc	20	20
CANC	C502	8500	2	canc	28	28
CANC	C502	8500	3	canc	837	837
CANC	C502	8503	3	canc	7	7
CANC	C502	8507	3	canc	8	8
CANC	C502	8520	3	canc	149	149
CANC	C502	8522	3	canc	29	29
CANC	C502	8523	3	canc	12	12
CANC	C502	8524	3	canc	13	13
CANC	C503	8480	3	canc	10	10
CANC	C503	8500	2	canc	25	25
CANC	C503	8500	3	canc	350	349
CANC	C503	8520	3	canc	49	49
CANC	C503	8522	3	canc	8	8
CANC	C503	8523	3	canc	8	8
CANC	C504	8010	3	canc	7	7
CANC	C504	8201	3	canc	10	10
CANC	C504	8211	3	canc	37	37
CANC	C504	8246	3	canc	6	6
CANC	C504	8401	3	canc	12	12
CANC	C504	8480	3	canc	40	40
CANC	C504	8500	2	canc	97	97
CANC	C504	8500	3	canc	2340	2337
CANC	C504	8503	2	canc	8	8
CANC	C504	8503	3	canc	12	12
CANC	C504	8507	3	canc	29	29
CANC	C504	8510	3	canc	20	20
CANC	C504	8520	3	canc	572	571
CANC	C504	8522	3	canc	94	94
CANC	C504	8523	3	canc	46	46
CANC	C504	8524	3	canc	39	39
CANC	C504	8530	3	canc	11	11
CANC	C504	8575	3	canc	13	13
CANC	C505	8211	3	canc	9	9
CANC	C505	8480	3	canc	15	15
CANC	C505	8500	2	canc	27	27
CANC	C505	8500	3	canc	523	523
CANC	C505	8507	3	canc	11	11
CANC	C505	8520	3	canc	100	100
CANC	C505	8522	3	canc	27	27
CANC	C505	8523	3	canc	14	14
CANC	C505	8524	3	canc	6	6
CANC	C506	8500	3	canc	6	6
CANC	C508	8211	3	canc	6	6
CANC	C508	8500	2	canc	10	10
CANC	C508	8500	3	canc	277	277
CANC	C508	8520	3	canc	101	101
CANC	C508	8522	3	canc	13	13
CANC	C508	8523	3	canc	11	11
CANC	C509	8000	3	canc	42	42
CANC	C509	8010	2	canc	7	7
CANC	C509	8010	3	canc	186	183
CANC	C509	8140	3	canc	86	85
CANC	C509	8200	3	canc	8	8
CANC	C509	8201	3	canc	10	10
CANC	C509	8211	3	canc	77	77
CANC	C509	8246	3	canc	18	18
CANC	C509	8401	3	canc	22	22
CANC	C509	8480	3	canc	179	179
CANC	C509	8500	2	canc	1289	1283
CANC	C509	8500	3	canc	7450	7279
CANC	C509	8501	2	canc	9	9
CANC	C509	8503	2	canc	70	70
CANC	C509	8503	3	canc	18	18
CANC	C509	8504	2	canc	15	15
CANC	C509	8507	3	canc	40	40
CANC	C509	8510	3	canc	87	87
CANC	C509	8520	2	canc	85	85
CANC	C509	8520	3	canc	1696	1678
CANC	C509	8522	3	canc	188	188
CANC	C509	8523	3	canc	60	60
CANC	C509	8524	3	canc	38	38
CANC	C509	8530	3	canc	18	18
CANC	C509	8541	3	canc	12	12
CANC	C509	8543	3	canc	22	22
CANC	C509	8575	3	canc	18	18
CANC	C509	9020	3	canc	16	16
