SOURCE	CODE1	CODE2	CODE3	VOCAB	n_events	n_patients
INPAT	17131	NA	NA	8	19	10
INPAT	17211	NA	NA	8	7	7
INPAT	17241	NA	NA	8	9	6
INPAT	1725A	NA	NA	9	20	17
INPAT	1725B	NA	NA	9	20	19
INPAT	1725C	NA	NA	9	14	12
INPAT	1725D	NA	NA	9	28	22
INPAT	17261	NA	NA	8	33	25
INPAT	1726A	NA	NA	9	7	7
INPAT	1726B	NA	NA	9	11	10
INPAT	17271	NA	NA	8	17	16
INPAT	1727A	NA	NA	9	10	7
INPAT	1727B	NA	NA	9	14	12
INPAT	1727C	NA	NA	9	9	8
INPAT	1727D	NA	NA	9	13	11
INPAT	17281	NA	NA	8	44	34
INPAT	17311	NA	NA	8	7	6
INPAT	1731A	NA	NA	9	26	20
INPAT	1732A	NA	NA	9	11	10
INPAT	17331	NA	NA	8	47	38
INPAT	1733A	NA	NA	9	120	91
INPAT	1733C	NA	NA	9	9	6
INPAT	1734A	NA	NA	9	6	6
INPAT	1735A	NA	NA	9	10	10
INPAT	17371	NA	NA	8	8	6
INPAT	17401	NA	NA	8	8	8
INPAT	17402	NA	NA	8	339	224
INPAT	17409	NA	NA	8	64	49
INPAT	1740A	NA	NA	9	33	21
INPAT	1741A	NA	NA	9	77	49
INPAT	1742A	NA	NA	9	171	111
INPAT	1743A	NA	NA	9	65	39
INPAT	1744A	NA	NA	9	612	411
INPAT	1745A	NA	NA	9	111	68
INPAT	1746A	NA	NA	9	10	9
INPAT	1748X	NA	NA	9	144	87
INPAT	1749X	NA	NA	9	156	104
INPAT	18000	NA	NA	8	18	15
INPAT	1800A	NA	NA	9	69	27
INPAT	18010	NA	NA	8	33	6
INPAT	18011	NA	NA	8	12	6
INPAT	1801A	NA	NA	9	46	14
INPAT	18099	NA	NA	8	104	62
INPAT	18199	NA	NA	8	37	6
INPAT	18200	NA	NA	8	110	38
INPAT	1820A	NA	NA	9	258	103
INPAT	1820C	NA	NA	9	22	7
INPAT	18220	NA	NA	8	20	10
INPAT	18221	NA	NA	8	13	8
INPAT	18301	NA	NA	8	167	27
INPAT	1830A	NA	NA	9	461	75
INPAT	1850A	NA	NA	9	364	154
INPAT	18599	NA	NA	8	20	12
INPAT	18699	NA	NA	8	93	37
INPAT	1869A	NA	NA	9	23	13
INPAT	1869B	NA	NA	9	44	9
INPAT	1869X	NA	NA	9	18	10
INPAT	1880A	NA	NA	9	14	9
INPAT	1888X	NA	NA	9	480	114
INPAT	18899	NA	NA	8	83	27
INPAT	1889X	NA	NA	9	93	34
INPAT	18900	NA	NA	8	38	25
INPAT	1890A	NA	NA	9	86	18
INPAT	1890B	NA	NA	9	119	68
INPAT	1890X	NA	NA	9	62	41
INPAT	1891C	NA	NA	9	32	7
INPAT	1891X	NA	NA	9	12	8
INPAT	1906B	NA	NA	9	42	16
INPAT	19100	NA	NA	8	15	7
INPAT	19101	NA	NA	8	10	8
INPAT	19107	NA	NA	8	10	6
INPAT	19109	NA	NA	8	14	11
INPAT	1911X	NA	NA	9	25	13
INPAT	1920A	NA	NA	9	35	6
INPAT	1922A	NA	NA	9	10	8
INPAT	1930A	NA	NA	9	298	134
INPAT	1930B	NA	NA	9	21	9
INPAT	1930X	NA	NA	9	15	12
INPAT	19399	NA	NA	8	215	88
INPAT	1990X	NA	NA	9	68	28
INPAT	2000A	NA	NA	9	119	24
INPAT	2000B	NA	NA	9	285	39
INPAT	20013	NA	NA	8	45	9
INPAT	2002A	NA	NA	9	123	8
INPAT	2008X	NA	NA	9	682	70
INPAT	2009X	NA	NA	9	93	36
INPAT	2014A	NA	NA	9	53	16
INPAT	2015A	NA	NA	9	15	6
INPAT	2015X	NA	NA	9	91	22
INPAT	2016A	NA	NA	9	131	14
INPAT	20199	NA	NA	8	311	57
INPAT	2019X	NA	NA	9	47	17
INPAT	20228	NA	NA	8	10	6
INPAT	20293	NA	NA	8	6	6
INPAT	20298	NA	NA	8	95	28
