EVENT_AGE,Frequency,APPROX_EVENT_DAY,Frequency,CDA_ID_SALATTU,Frequency,DOC_GROUP_SALATTU,Frequency,DOC_TYPE_CODE,Frequency,DOC_VERSION,Frequency,TYPE_1_AMOUNT,Frequency,TYPE_1_SIZE,Frequency,TYPE_2_AMOUNT,Frequency,TYPE_2_SIZE_UNIT,Frequency,TYPE_3_TIME,Frequency,TYPE_3_UNIT,Frequency,ATC_CODE,Frequency,PREPARATION_TYPE_CODE,Frequency,PRODUCT_CODE,Frequency,RESEPTISTATUS,Frequency,LAAKEMUOTOKOODI,Frequency,DRUG_NAME_C,Frequency,DOSE_QUANTITY_TEXT,Frequency,RENEWAL_BAN,Frequency,MED_EXCHANGE_BAN,Frequency,DOSE_DISTRIBUTION,Frequency,ORGANIZATION_OID_SALATTU,Frequency,ERIKOISALA_CODE,Frequency
,,2021-12-03,166,,,,,,,,,,,20 kpl,809,,,,,,,,,R01AD58,2323,,,403048,931,,,565.0,583,VI-SIBLIN,1488,0,1 mg/annos,1625,,,,,,,2FF903A911A47FFD4CC482F8E120F18F,973,86161-656,695
,,2017-06-13,165,,,,,,,,,,,3 x 21 fol,781,,,,,,,,,C07AA05,2303,,,584609,930,,,130.0,575,MAREVAN FORTE,1487,80 mg,1574,,,,,,,B296B62DC09DAAD2B87833F79D0F9ED0,971,86131-220,666
,,2020-03-09,165,,,,,,,,,,,25 kpl,772,,,,,,,,,J01CR02,2191,,,007072,927,,,356.0,571,DINIT,1463,500/5 mg,1544,,,,,,,0D98BB93263ED86B503598670CF45CD2,970,86111-593,514
,,2017-03-28,165,,,,,,,,,,,8 kpl,754,,,,,,,,,B01AA03,2189,,,185983,926,,,240.0,569,OFTAN DEXA-CHLORA,1457,610 mg/g,1537,,,,,,,2B08F0078E245AD2F158ADD49AE9D7E2,963,86131-356,509
,,2021-04-26,165,,,,,,,,,,,5 g,747,,,,,,,,,D07AC01,2184,,,547976,926,,,316.0,561,PRIMPERAN,1456,23,2 mg/g,1469,,,,,,,F0E90ADC7B64D125FE4E5978009D56A6,956,76111-722,491
,,2017-02-05,165,,,,,,,,,,,30 x 0,25 ml,739,,,,,,,,,N02AE01,2128,,,463133,918,,,547.0,494,DOXIMYCIN,1454,1,25 mg/annos,1450,,,,,,,1EFE423B1021DA2CD45C04AC67F7B4DF,951,86115-656,491
,,2017-02-08,165,,,,,,,,,,,50 kpl,693,,,,,,,,,J01EA01,2096,,,184911,914,,,233.0,490,OXYNORM,1434,1 milj.IU,1432,,,,,,,C0088167E66F22E9CA0387CA85DE5675,942,86111-598,483
,,2018-09-18,165,,,,,,,,,,,400 g,678,,,,,,,,,R03AK07,1991,,,565663,913,,,333.0,441,VOLTAREN FORTE,1425,875/125 mg,1386,,,,,,,B8D0579B0F1316BDD0301DCFDE415835,938,80,461
,,2016-04-15,165,,,,,,,,,,,3 x 140 annosta,670,,,,,,,,,N05BA01,1986,,,431530,894,,,739.0,429,FLAVAMED,1394,5/2,5 mg,1347,,,,,,,B3142F3FB0537C88A586B6D36F3E38CE,935,10R,445
,,2017-11-11,165,,,,,,,,,,,96 fol,669,,,,,,,,,B01AB05,1941,,,550236,893,,,396.0,427,CODESAN COMP,1391,10 mg/ml,1341,,,,,,,1DC12967869FB38F6516F654EB9ED269,931,86131-200,445
,,2017-11-24,165,,,,,,,,,,,200 kpl,659,,,,,,,,,N03AX12,1868,,,136945,892,,,199.0,363,ROSUVASTATIN ORION,1355,16 mg,1330,,,,,,,CADADA58D16636B357B102382B1D4446,919,86183-656,443
,,2021-02-24,165,,,,,,,,,,,150 annosta,635,,,,,,,,,C07AB02,1851,,,7072,879,,,194.0,331,EMCONCOR CHF,1341,665 mg,1322,,,,,,,14A84FC3A3F5D797ED123C03FAAD7A9E,917,86171-432,443
,,2019-03-18,165,,,,,,,,,,,180 g,633,,,,,,,,,G04CA02,1846,,,175935,863,,,351.0,307,ATARAX,1338,75/750 mg,1286,,,,,,,62FA14E639A626DA6B121EB7C5FBBB9A,917,86112-656,427
,,2020-11-10,165,,,,,,,,,,,40 fol,612,,,,,,,,,A06AC01,1831,,,474643,852,,,214.0,288,PANADOL EXTEND,1322,1,25 mg/ml,1191,,,,,,,D9F076F275036B9B10E7292EC9A090CA,910,86131-201,406
,,2017-01-23,165,,,,,,,,,,,4 fol,598,,,,,,,,,C01DA08,1767,,,532960,846,,,108.0,280,KALCIPOS-D,1320,12 g,1168,,,,,,,B7ABB1F143B815FDFFC2EE52B91C471C,907,86171-434,382
,,2016-11-17,165,,,,,,,,,,,60 g,597,,,,,,,,,M02AA15,1726,,,525162,844,,,228.0,262,TARGINIQ,1316,75 mikrog,1097,,,,,,,F749F67E3B27C7910D1820689910EF71,892,86111-456,381
,,2018-03-14,164,,,,,,,,,,,14 kpl,546,,,,,,,,,A03FA01,1694,,,085506,834,,,160.0,259,PRONAXEN,1299,550 mg,1095,,,,,,,92D05BAC84CB8741BAE7DD007EC59418,886,86111-756,380
,,2019-02-27,164,,,,,,,,,,,112 fol,542,,,,,,,,,S01CA01,1604,,,398800,815,,,993.0,245,NITROFUR-C,1296,40 mg/ml,1052,,,,,,,7D0C4D23635D63EFEBDDEE7E48562B70,874,86131-210,374
,,2022-12-29,164,,,,,,,,,,,50 x 12 g,532,,,,,,,,,C09AA02,1601,,,481549,808,,,313.0,244,ERDOPECT,1295,400 mikrog/annos,1016,,,,,,,C0DF4D9356727F678BFDCBA1F570EC5A,864,77,364
,,2017-05-19,164,,,,,,,,,,,28 annosta,525,,,,,,,,,P01AB01,1588,,,030627,800,,,401.0,242,SILDENAFIL ORION,1283,1/2 mg/ml,1001,,,,,,,8F9B6F426D5264F07C4C841C2988F56E,862,10M,360
,,2017-05-15,164,,,,,,,,,,,1000 ml,519,,,,,,,,,A03DA02,1583,,,451971,794,,,267.0,230,NEXIUM,1273,100 mikrog/annos,1001,,,,,,,49C3C7B0D9CF47983F6CA543B55454F5,840,86162-656,359
,,2017-05-31,164,,,,,,,,,,,4 ml,513,,,,,,,,,R05FA02,1582,,,007181,793,,,89.0,206,ZANIDIP,1263,250 mikrog/annos,940,,,,,,,AF38082FDFF45622675884C56E2475FB,838,86166-650,320
,,2023-03-14,164,,,,,,,,,,,30 ml,508,,,,,,,,,C08CA13,1572,,,585786,780,,,18.0,175,ESOMEPRAZOL ORION,1244,0,1 mg,926,,,,,,,BFF5DF638988099850521F07F50FC1CE,834,86171-431,301
