EVENT_AGE,Frequency,APPROX_EVENT_DAY,Frequency,CDA_ID_SALATTU,Frequency,DOC_GROUP_SALATTU,Frequency,DOC_TYPE_CODE,Frequency,DOC_VERSION,Frequency,TYPE_1_AMOUNT,Frequency,TYPE_1_SIZE,Frequency,TYPE_2_AMOUNT,Frequency,TYPE_2_SIZE_UNIT,Frequency,TYPE_3_TIME,Frequency,TYPE_3_UNIT,Frequency,ATC_CODE,Frequency,PREPARATION_TYPE_CODE,Frequency,PRODUCT_CODE,Frequency,RESEPTISTATUS,Frequency,LAAKEMUOTOKOODI,Frequency,DRUG_NAME_C,Frequency,DOSE_QUANTITY_TEXT,Frequency,RENEWAL_BAN,Frequency,MED_EXCHANGE_BAN,Frequency,DOSE_DISTRIBUTION,Frequency,ORGANIZATION_OID_SALATTU,Frequency,ERIKOISALA_CODE,Frequency
,,2017-12-05,157,,,,,,,,,,,3 x 10 ml,71,,,,,,,,,D07CA01,486,,,50463,389,,,,,IBUMAX,550,150/20 mikrog,174,,,,,,,DA6AE12166EBB84EB69C9110528264CD,393,,
,,2017-12-09,157,,,,,,,,,,,15 x 0,25 ml,71,,,,,,,,,N06DA02,481,,,8468,386,,,,,PANTOPRATSOLI,547,20 mg/g,173,,,,,,,2E93B62CBDFD1F748D76C354E67FABF3,389,,
,,2016-12-04,157,,,,,,,,,,,0,65 ml,70,,,,,,,,,C01CA24,476,,,481473,384,,,,,FELDEN,546,200/6 mikrog/annos,172,,,,,,,8BB28BC9D102B42A5E2CB487C59C331A,387,,
,,2023-09-18,157,,,,,,,,,,,1 x (5000 IU + 1 ml),70,,,,,,,,,A10BD07,474,,,395469,383,,,,,ASACOL,544,92/22 mikrog/annos,167,,,,,,,2E848E6927E33CD2D09F4FB9242DA55F,381,,
,,2023-10-17,157,,,,,,,,,,,20 FOL,69,,,,,,,,,G03FA01,472,,,546192,382,,,,,NORVASC,543,20MIKROG,166,,,,,,,5147586A23D7EEB8DE89E80E1BDE66B7,381,,
,,2020-02-18,157,,,,,,,,,,,180 x 0,5 ml,68,,,,,,,,,N04BA02,472,,,469940,379,,,,,MIRENA,540,25 mg/ml,165,,,,,,,1A45788F89968C3A6DC50032241011EF,380,,
,,2020-02-09,157,,,,,,,,,,,18 x 1 fol,68,,,,,,,,,G03BA03,464,,,76033,377,,,,,XATRAL CR,537,1000 mg/4 ml,163,,,,,,,4A283C6F37C39DA28C783BC33C0DD9BC,380,,
,,2023-09-03,157,,,,,,,,,,,10 x 1 ml,67,,,,,,,,,B02AA02,461,,,172163,377,,,,,COHEMIN DEPOT,537,1,5 mikrog/annos,159,,,,,,,97C16918086B89FCE2CCA9FA69AAB457,377,,
,,2021-09-26,157,,,,,,,,,,,1 x (I+II),67,,,,,,,,,L02BG04,461,,,053563,377,,,,,PRED FORTE,531,4,45 mg/g,157,,,,,,,6F3863421379D942FE77875F55E18406,377,,
,,2023-01-26,157,,,,,,,,,,,N:o C,67,,,,,,,,,C09DA03,459,,,21489,376,,,,,ESOMEPRAZOL ACTAVIS,528,50 mikrog/24 h,156,,,,,,,E6AE25606ACCA0F71E274223945DDA1A,376,,
,,2017-05-04,157,,,,,,,,,,,100 tabl,65,,,,,,,,,A01AA01,451,,,010215,375,,,,,NITROGLYCERIN ORION,525,50 mg/g,151,,,,,,,0B4FB873BAA19B05D894139D0525FEAE,375,,
,,2019-05-23,157,,,,,,,,,,,450 g,64,,,,,,,,,B01AC30,448,,,10215,374,,,,,DESLORATADINE ACTAVIS,521,20 %,150,,,,,,,789BC9B5C8A00B466DC0B1DD9373B1FE,375,,
,,2023-12-01,157,,,,,,,,,,,4 g,63,,,,,,,,,A04AA01,447,,,90070,372,,,,,ZITHROMAX,519,0.1 %,148,,,,,,,99E59C22BD9AD6B4E69AA50DE6D9103F,375,,
,,2021-11-05,157,,,,,,,,,,,5 x 1,5 ml,62,,,,,,,,,J01EE02,437,,,050463,371,,,,,LOSARTAN KRKA,519,160/800 mg,146,,,,,,,C4E395F33C211BDE1FAB32C8FD4DC007,372,,
,,2019-09-02,157,,,,,,,,,,,4 x 200 ml,62,,,,,,,,,S01EE01,436,,,520759,370,,,,,PEVISONE,511,200 mg/g,145,,,,,,,5F7F64E08998A371BC076ADDEA726A39,371,,
,,2017-01-18,157,,,,,,,,,,,120 kpl,61,,,,,,,,,N02AJ13,435,,,7519,370,,,,,PROGYNOVA,511,7,5 mg/ml,145,,,,,,,ABC2DE748EF7F2B1A99356F2DCE1A769,370,,
,,2023-02-04,157,,,,,,,,,,,10 x 0,35 ml,60,,,,,,,,,N02AB03,428,,,112973,369,,,,,PULMICORT TURBUHALER,506,36 mg,143,,,,,,,7F536711AFDEB84FDCB5C7184E722861,369,,
,,2023-05-26,157,,,,,,,,,,,90 x 0,2 ml,59,,,,,,,,,A10AB04,421,,,445240,369,,,,,CIRCADIN,502,0.5 mg,141,,,,,,,EC893CDA5C3CE17BAAFA211D96B80AFA,369,,
,,2017-04-24,157,,,,,,,,,,,120 g,58,,,,,,,,,A03CA02,419,,,143534,368,,,,,NITRO,498,0,03 %,141,,,,,,,6125762DF80BBEF2029C52630A796BB2,364,,
,,2019-06-05,157,,,,,,,,,,,180 fol,58,,,,,,,,,H02AB07,418,,,453522,367,,,,,DIPROSALIC,494,225 mg,141,,,,,,,5EF44A70D53552DF7E0EEA2E5E78B0B9,362,,
,,2017-10-07,157,,,,,,,,,,,10 x 0,2 ml,57,,,,,,,,,A11CC05,418,,,151938,366,,,,,LIPCUT,493,300/0,5 mg,140,,,,,,,BEE0A8074E211C4F25D76A6A17ED4B33,361,,
,,2022-09-21,156,,,,,,,,,,,20 x 0,35 ml,56,,,,,,,,,M05BX04,416,,,007519,365,,,,,BUDESONID EASYHALER,488,1 mg/ml + 5 mg/ml,139,,,,,,,7D918B3DD069C8C18E05307D8608BF9B,359,,
,,2023-11-27,156,,,,,,,,,,,3 x 56 annosta,56,,,,,,,,,A10BK01,414,,,469485,365,,,,,CANDESARTAN ACTAVIS,485,0,0625 mg,137,,,,,,,D201AC72A4FD7B536534F0ECA460B3B0,359,,
,,2015-11-26,156,,,,,,,,,,,1x125 mg + 2x80 mg,53,,,,,,,,,D05AX52,414,,,155457,363,,,,,NORGESIC,484,55 mikrog/annos,137,,,,,,,6BBCEEC126BF8DCDAEB0BCDC26C9D799,358,,
,,2019-11-04,156,,,,,,,,,,,500 kpl,53,,,,,,,,,G01AA10,411,,,521282,363,,,,,INNOHEP,479,11,25 mg,136,,,,,,,BFE318FEDD77EC7B32442692D1A73E28,357,,
,,2017-12-19,156,,,,,,,,,,,10 x 3 ml,53,,,,,,,,,G04CB02,409,,,006102,362,,,,,SERETIDE EVOHALER,479,50/170 mikrog/24 h,134,,,,,,,3AD075178C1E8D239723D83DC9EC02C6,354,,
,,2018-03-27,156,,,,,,,,,,,12 x 0,2 g,52,,,,,,,,,C09DA07,406,,,048876,362,,,,,ROSUVASTATIN ACTAVIS,478,1,5 miljIU,133,,,,,,,C9A5C4EC3BF963E7EE55C627C3A0BCC5,354,,
,,2023-09-19,156,,,,,,,,,,,475 g,51,,,,,,,,,S01BC10,404,,,078623,361,,,,,FUCITHALMIC,477,10 mg/annos,133,,,,,,,EECFB9AE45D3D463DF24B8FA5B064BF1,354,,
,,2016-06-05,156,,,,,,,,,,,400 ml,51,,,,,,,,,L04AX01,402,,,090070,360,,,,,FUCICORT,476,14 mg,133,,,,,,,912DA7780E76C3823324AEBEE5DB2B39,353,,
,,2022-03-08,156,,,,,,,,,,,60 x 2,5 ml,51,,,,,,,,,M05BA04,400,,,489034,359,,,,,TICOVAC,472,0,3 mg/ml,132,,,,,,,F8D609FE04F9427FBBF5366EC1645D93,353,,
,,2019-02-16,156,,,,,,,,,,,3 x 60 suihketta,50,,,,,,,,,M01AE03,394,,,008468,357,,,,,VALAVIR,465,12 mikrog/annos,132,,,,,,,D12FE8A90819B943E073D84091C518DE,351,,
,,2017-02-17,156,,,,,,,,,,,List truncated...,,,,,,,,,,H02AB04,391,,,444089,356,,,,,SERONIL,465,4 g,129,,,,,,,58985C50B89A165486B16D2D040DE4BE,348,,
,,2016-10-03,156,,,,,,,,,,,,,,,,,,,,,G04BX01,388,,,24310,355,,,,,TAVANIC,465,37,5 mikrog/24 h,128,,,,,,,CC33494DABE6467024CD182E7780E11A,348,,
,,2017-05-06,156,,,,,,,,,,,,,,,,,,,,,R06AX13,387,,,550269,355,,,,,PROTOPIC,459,0,5 mikrog,127,,,,,,,704E259D72731B9F04CCEA6B68EA9D22,346,,
,,2016-04-28,156,,,,,,,,,,,,,,,,,,,,,A10BH05,382,,,175703,353,,,,,FLAGYL COMP,457,12 mikrog/h,127,,,,,,,00E0379FE97E0188C376BCD1D1491DF9,345,,
,,2016-04-18,156,,,,,,,,,,,,,,,,,,,,,G03CA04,380,,,583491,352,,,,,BURANA SLOW,456,50 mikrog/ml + 5 mg/ml,126,,,,,,,540EA4E8EACC91B1D5B12D1123F64AC7,342,,
,,2021-11-10,156,,,,,,,,,,,,,,,,,,,,,G03FA14,376,,,19720,351,,,,,MICARDIS,454,1/2,5 mg,126,,,,,,,EA2CD1FBC5715BDE264BEC5BE6F8FD4A,340,,
,,2019-12-07,156,,,,,,,,,,,,,,,,,,,,,C09AA04,375,,,154633,349,,,,,ESTRADOT,453,250/100 mg,125,,,,,,,21A56C53F39D5DFB3F11D5A188374D11,340,,
,,2022-02-09,156,,,,,,,,,,,,,,,,,,,,,M01AH01,373,,,59987,347,,,,,METOHEXAL,450,32/12,5 mg,124,,,,,,,B6236DC30651144AA63CCA1EE8B9F802,340,,
,,2019-03-16,156,,,,,,,,,,,,,,,,,,,,,R03AK10,366,,,445069,346,,,,,FORXIGA,450,500 MG,122,,,,,,,5C5103DA8587322B5B09C7B3E0F06404,339,,
,,2019-03-25,156,,,,,,,,,,,,,,,,,,,,,R03AK08,363,,,198582,345,,,,,CERALAN PLUS,446,25 mikrog/h,122,,,,,,,E6DD680DCF1749080B1112B5AC0934A7,339,,
,,2022-11-12,156,,,,,,,,,,,,,,,,,,,,,A07AA02,360,,,183803,345,,,,,ATACAND PLUS,445,20 mikrog,121,,,,,,,98D0B6EB91117086BC334EE28A02B3E8,339,,
,,2019-10-06,156,,,,,,,,,,,,,,,,,,,,,G03DB01,358,,,195065,344,,,,,OFTAN DEXA,444,0.1 mg/annos,121,,,,,,,63904696BB8949C6A8AF1673C193B7D7,337,,
,,2019-10-07,156,,,,,,,,,,,,,,,,,,,,,N06DA03,357,,,401828,344,,,,,LOSATRIX COMP,441,75/20 mikrog,120,,,,,,,34D021B553D169F1CF76B56D6448ADF0,336,,
,,2023-05-29,156,,,,,,,,,,,,,,,,,,,,,C07AG02,356,,,460287,343,,,,,OLANZAPIN ORION,441,595 mg,120,,,,,,,9F95E4811309DBE2803476D347593C8B,335,,
,,2017-09-25,156,,,,,,,,,,,,,,,,,,,,,S01CA03,355,,,19758,341,,,,,ROSUVASTATIN ACCORD,438,3,35 mg/ml,119,,,,,,,ECEBD3B7D70F5ABD16016561A58A89B1,335,,
,,2017-09-28,156,,,,,,,,,,,,,,,,,,,,,A02BX13,350,,,48876,338,,,,,PARIET,437,25/125 mikrog/annos,119,,,,,,,450D17684B64FD1E77A5FA53BFE7C36E,331,,
,,2017-10-17,156,,,,,,,,,,,,,,,,,,,,,D07BB04,350,,,059969,337,,,,,DITRIM DUPLO,437,21 mikrog/annos,119,,,,,,,1D8BDE8844A8E4E0704C306FA3C4DD71,331,,
,,2016-05-13,156,,,,,,,,,,,,,,,,,,,,,C10AA03,342,,,420209,337,,,,,FINASTERID ORION,430,160/25 mg,118,,,,,,,DCEB8BFA614A29836B595F8E35122246,330,,
,,2019-01-13,156,,,,,,,,,,,,,,,,,,,,,G03AA10,338,,,490437,335,,,,,MOBIC,430,0,3 mg/ml+5 mg/ml,117,,,,,,,0B74F82FD00C4E455628725D682A419F,329,,
,,2018-05-24,156,,,,,,,,,,,,,,,,,,,,,B01AE07,335,,,054309,335,,,,,DURAPHAT,429,12,5 mg F-/g,116,,,,,,,0D89A758CBB9523E84C6737663774D40,329,,
,,2018-05-28,156,,,,,,,,,,,,,,,,,,,,,N02BF01,334,,,73372,332,,,,,TRIKOZOL,427,40/12,5 mg,114,,,,,,,8CBAEDFADB8A7AB8A53137E780301403,327,,
,,2022-09-15,155,,,,,,,,,,,,,,,,,,,,,N05AN01,334,,,11260,332,,,,,DOLAN,426,45 mg,112,,,,,,,7C2F1E7E068534CBF13627DF4241ED96,326,,
,,2022-09-18,155,,,,,,,,,,,,,,,,,,,,,S02CA05,333,,,5209,332,,,,,MELOXICAM ORION,422,50 mikrog,112,,,,,,,6D7C0E4CD80FC25290ADBB061109912C,326,,
,,2022-06-14,155,,,,,,,,,,,,,,,,,,,,,N07CA01,333,,,070110,331,,,,,puuttuu,421,9,5 mg/24 h,111,,,,,,,949390ABA47C995DB80EDFD5E28E94A5,326,,
,,2023-11-16,155,,,,,,,,,,,,,,,,,,,,,J07BC20,332,,,593527,329,,,,,PANADOL NOVUM,419,15 mikrog/ml+5 mg/ml,111,,,,,,,62F9A2CE9A5131B3307E404FA1F447E2,326,,
,,2019-11-03,155,,,,,,,,,,,,,,,,,,,,,D10BA01,331,,,11271,328,,,,,XANOR,418,5/160 mg,110,,,,,,,D3BFE60A333212B86E2AAFE63F4981AE,324,,
,,2017-12-10,155,,,,,,,,,,,,,,,,,,,,,S02CA02,327,,,020847,328,,,,,LIBRAX,418,0,75 %,110,,,,,,,17276BF8C1CB2790646909181E0B3C87,324,,
,,2017-03-13,155,,,,,,,,,,,,,,,,,,,,,A04AA02,327,,,463869,328,,,,,VENLAFAXIN KRKA,412,3 mg/g,108,,,,,,,11DD06D1778370CEC311B87BE4F98C2E,323,,
,,2018-03-02,155,,,,,,,,,,,,,,,,,,,,,N03AX14,326,,,472092,326,,,,,XYZAL,411,25/100 mg,108,,,,,,,EEFAE756981420FA17F80B3161638D9B,322,,
,,2015-12-08,155,,,,,,,,,,,,,,,,,,,,,C10AA04,314,,,438416,326,,,,,COZAAR,409,4,6 mg/24 h,108,,,,,,,ED29DDD46D8573129C1F739F678F5EB2,319,,
,,2016-06-04,155,,,,,,,,,,,,,,,,,,,,,R06AX26,313,,,016294,326,,,,,PREDNISON,406,20/75 mikrog,107,,,,,,,33D747BC9846225CB46D5B4111CE33F2,318,,
,,2023-09-24,155,,,,,,,,,,,,,,,,,,,,,N05AA02,313,,,007902,325,,,,,DIOVAN COMP,403,200/30 mg,105,,,,,,,2B0AC7C8618E8CADEFE942A0981C87C9,314,,
,,2023-09-20,155,,,,,,,,,,,,,,,,,,,,,L04AD01,311,,,478402,324,,,,,IBUXIN,402,0,25 mikrog,104,,,,,,,A35E74E4EC06584310CB004BC49EB31C,314,,
,,2023-10-26,155,,,,,,,,,,,,,,,,,,,,,N03AF02,309,,,130596,324,,,,,MEDITHYROX,402,50 mg/annos,104,,,,,,,05D807C9D99D40D4BDB211D05CAA3CF1,312,,
,,2021-09-28,155,,,,,,,,,,,,,,,,,,,,,N02BF02,307,,,457903,322,,,,,CIPROXIN,401,1,53 mg/suihke,104,,,,,,,E2A7CBC570208C1300EC8143530C1972,311,,
,,2021-04-29,155,,,,,,,,,,,,,,,,,,,,,L04AD02,306,,,492298,322,,,,,SIFROL,401,0.4 mg,104,,,,,,,3935E56B95131FE6CAE6A2890ECAE467,310,,
,,2017-02-06,155,,,,,,,,,,,,,,,,,,,,,D06BX01,304,,,008519,318,,,,,EPIPEN,395,500 mikrog/annos,104,,,,,,,DC8B1735DDD154A04F15171BE4573477,310,,
,,2017-02-15,155,,,,,,,,,,,,,,,,,,,,,G04BD08,303,,,185371,318,,,,,CANODERM,393,10 mg/ml+5 mg/ml,103,,,,,,,0D3B756306287CD5BA178B18ECAF8DE5,310,,
,,2016-10-01,155,,,,,,,,,,,,,,,,,,,,,D01AE15,303,,,8519,316,,,,,KLOTRIPTYL MITE,387,320/9 mikrog/annos,103,,,,,,,4F8AF1C8D564C8094EB6DBAD9CF4D7A7,309,,
,,2017-05-23,155,,,,,,,,,,,,,,,,,,,,,C02AC05,302,,,576450,316,,,,,ETORICOXIB RATIOPHARM,385,87/5/9 mikrog,103,,,,,,,144306E4AD4AC3E43C67E1975A97A243,309,,
,,2017-05-24,155,,,,,,,,,,,,,,,,,,,,,S03CA04,302,,,494371,316,,,,,IMIGRAN,383,0,35 mg,100,,,,,,,FB34FE389B90EFEED5FA7E6785F57622,308,,
,,2017-11-03,155,,,,,,,,,,,,,,,,,,,,,R01AD01,302,,,006998,315,,,,,SOMNOR,382,110 mg,99,,,,,,,87F0F9905BD1565259ED574B73FA8CA8,308,,
,,2020-11-22,155,,,,,,,,,,,,,,,,,,,,,D07BA04,297,,,170092,312,,,,,ENALAPRIL ORION,381,250/10 mikrog/annos,98,,,,,,,EB7F43435169431AD599AA7228084A4F,307,,
,,2023-02-22,155,,,,,,,,,,,,,,,,,,,,,J01AA04,297,,,10966,312,,,,,CONCERTA,379,125 mikrog/annos,98,,,,,,,1AC5B2C65D420EA800AFED9D1615CBAD,307,,
,,2017-01-27,155,,,,,,,,,,,,,,,,,,,,,J01FA06,297,,,148586,310,,,,,LIPITOR,378,7,5 mg/g,95,,,,,,,171ADC9BD36DFE15611CC246D50EC6EF,307,,
,,2023-02-25,155,,,,,,,,,,,,,,,,,,,,,A06AB08,296,,,518897,309,,,,,AMLORATIO,377,10/160 mg,95,,,,,,,31F3BD4804CF0807B0D15AC2D2B1E3F9,306,,
,,2019-10-31,155,,,,,,,,,,,,,,,,,,,,,M02AA10,291,,,518332,308,,,,,PREGABALIN ORION,376,125 mg,95,,,,,,,D3FCC83E6E78B5B519E63709E67306B4,305,,
,,2017-01-30,155,,,,,,,,,,,,,,,,,,,,,N02CC03,291,,,032214,308,,,,,FLUCONAZOL ORION,375,0,025 %,94,,,,,,,DA020ED209A696F5EF0CA99BBBD9CD14,304,,
,,2017-04-20,155,,,,,,,,,,,,,,,,,,,,,D01AC02,287,,,186611,306,,,,,TRAJENTA,372,1000000 IU,94,,,,,,,AFF4064EB6D3E0B020F532E7EDF9E802,303,,
,,2016-11-28,155,,,,,,,,,,,,,,,,,,,,,C01BC04,285,,,550277,305,,,,,JANUMET,371,54 mg,93,,,,,,,C7E31D7C3DFB251594CBCD3654736CA3,302,,
,,2018-11-01,155,,,,,,,,,,,,,,,,,,,,,G02BB01,282,,,589143,305,,,,,GABAPENTIN RATIOPHARM,369,40/50 mg,92,,,,,,,300C3B86024369743200248D9A012B5A,302,,
,,2021-05-29,155,,,,,,,,,,,,,,,,,,,,,C08CA05,282,,,001102,304,,,,,NEVANAC,367,50/850 mg,91,,,,,,,C9B2F8FA7C77A63615C742E375F33941,300,,
,,2020-10-17,155,,,,,,,,,,,,,,,,,,,,,D11AH02,281,,,010573,304,,,,,RELVAR ELLIPTA,367,0,25 mg/0,5 ml,91,,,,,,,2D4EAEB35F712CF1D9A07A70765423C4,299,,
,,2019-06-01,155,,,,,,,,,,,,,,,,,,,,,J01FA09,279,,,534263,304,,,,,ORUDIS,366,50 mikrog/g,91,,,,,,,DD548AE5191764C1B2C24FCEC83E190B,295,,
,,2017-09-18,155,,,,,,,,,,,,,,,,,,,,,N06AA12,278,,,082685,303,,,,,OMEPRAZOL ACTAVIS,366,2,5/12,5 mg,91,,,,,,,3EF97AF4038AE326BC949E107BC87B4A,294,,
,,2017-10-10,155,,,,,,,,,,,,,,,,,,,,,N06AB05,277,,,080034,303,,,,,DULOXETINE ORION,366,150 mikrog,90,,,,,,,D38A2EB14C3D08F1CE390C555FCEC91B,293,,
,,2021-12-02,155,,,,,,,,,,,,,,,,,,,,,N02CC04,273,,,384407,303,,,,,AMLODIPIN KRKA,364,0,1 mg/g,90,,,,,,,F81999B300ECDF909CE59F6DF3060639,293,,
,,2018-02-19,155,,,,,,,,,,,,,,,,,,,,,N03AF01,272,,,110972,303,,,,,NEOPROCT YHDISTELMÄPAKKAUS,363,25 mikrog/24 h,90,,,,,,,F524997DF6B6BA20194BA9CA1A14BAEE,293,,
,,2019-04-03,154,,,,,,,,,,,,,,,,,,,,,C09DB01,271,,,073372,301,,,,,NEOPROCT,361,10,8/10 mg,90,,,,,,,10E6F60F8BA867FE4BFED148E8F34365,292,,
,,2017-06-03,154,,,,,,,,,,,,,,,,,,,,,J07BB02,266,,,019720,301,,,,,PREDNISOLONI,359,25/600 mikrog/annos,89,,,,,,,BD4ABE5AC15EE1F3A4156C176A7327C5,291,,
,,2022-09-23,154,,,,,,,,,,,,,,,,,,,,,N02CC06,264,,,047579,301,,,,,DAIVOBET,357,7 mg,89,,,,,,,8CD0051C2219493A4E0B14CB191D73C6,291,,
,,2022-09-17,154,,,,,,,,,,,,,,,,,,,,,D07BC01,264,,,183277,300,,,,,OFTAN C-C,355,40 mikrog/ml,88,,,,,,,C5DB1C98DB3AA6E6B423694647A8176F,290,,
,,2019-11-30,154,,,,,,,,,,,,,,,,,,,,,A07EA06,264,,,018285,299,,,,,MICARDISPLUS,353,500 mg/800 IU,87,,,,,,,1ECC817CA61C1EADA43BC4D6613E7E68,286,,
,,2021-01-20,154,,,,,,,,,,,,,,,,,,,,,D02AE01,264,,,590925,299,,,,,BISOPROACT,351,27.5 mikrog/annos,86,,,,,,,FFCFA9164CCE29A6F0E5FCBD0808632B,284,,
,,2017-08-28,154,,,,,,,,,,,,,,,,,,,,,N02CC07,261,,,16395,298,,,,,GAVISCON,350,2,5/2,5 mikrog,86,,,,,,,21E96FD0214CB9FF5A8E963DA10182B3,282,,
,,2020-02-20,154,,,,,,,,,,,,,,,,,,,,,A10AE06,260,,,396554,295,,,,,DUOCORT,350,250 mikrog,86,,,,,,,B25F0243C4D910BB7E4495326622A6D6,282,,
,,2020-02-24,154,,,,,,,,,,,,,,,,,,,,,G03HB01,260,,,379305,294,,,,,CIALIS,349,35 mg,86,,,,,,,2678E10A1ECC4C4A6FC156768755877E,280,,
,,2019-02-05,154,,,,,,,,,,,,,,,,,,,,,C05AA04,259,,,006192,292,,,,,OTIBORIN FORTE,349,0,5/2,5 mg/annos,86,,,,,,,DDBA59F7102FA777AF462D7CB8A308AC,280,,
,,2019-02-03,154,,,,,,,,,,,,,,,,,,,,,N06AX22,259,,,435115,291,,,,,CRESTOR,348,40 mikrog/ml + 5 mg/ml,85,,,,,,,A2E20E4B3A0BB847279A45FCE30FE104,280,,
,,2022-12-09,154,,,,,,,,,,,,,,,,,,,,,J01CF05,256,,,450361,290,,,,,EMGESAN,347,80/400 mg,84,,,,,,,94DE59A8F51DD0E1E7AE899A14601432,279,,
,,2019-02-14,154,,,,,,,,,,,,,,,,,,,,,A10BJ02,251,,,018759,290,,,,,DAKTACORT,342,19,5 mg,84,,,,,,,F99C1E273CD553B0BFC78EEF35FC4D7C,277,,
,,2021-10-24,154,,,,,,,,,,,,,,,,,,,,,A11CC03,249,,,076033,289,,,,,TEROLUT,342,60 mikrog,84,,,,,,,38FD1A23C643B0CCEDE39FC7920BE306,277,,
,,2021-09-09,154,,,,,,,,,,,,,,,,,,,,,A11EA,249,,,18285,289,,,,,DONEPEZIL ORION,339,190 mg,84,,,,,,,72BB40B3F284D24D5D4F06FD0BC8B032,275,,
,,2017-02-23,154,,,,,,,,,,,,,,,,,,,,,L02AE02,247,,,6826,288,,,,,BISOPROLOLI,339,125/5 mikrog/annos,82,,,,,,,15DE94DAD105181A19E7F9615536BA9D,275,,
,,2023-01-13,154,,,,,,,,,,,,,,,,,,,,,C09AA03,242,,,6998,287,,,,,ALLONOL,339,5mg,82,,,,,,,9FDDA67C85074C46D6EBF3B752C4CCC4,274,,
,,2023-01-22,154,,,,,,,,,,,,,,,,,,,,,C07BB07,241,,,479186,287,,,,,MEMANTIN ORION,339,0,9 mg/ml,82,,,,,,,BDF862660E2B24341FABDB6194393E08,274,,
,,2016-04-14,154,,,,,,,,,,,,,,,,,,,,,L04AA06,240,,,175398,284,,,,,VOLTAREN,334,10/10 mg,81,,,,,,,6AF65F8F40CE6FD10457BDFEE4F863E8,274,,
,,2017-11-16,154,,,,,,,,,,,,,,,,,,,,,S01EC04,239,,,156018,283,,,,,LAMOTRIGIN ORION,334,1.25 mg/annos,80,,,,,,,BA09CF48F48351D985E6A23C95E875C5,273,,
,,2017-11-28,154,,,,,,,,,,,,,,,,,,,,,H03BB01,234,,,067530,283,,,,,DAKTARIN,333,20 mikrog/annos,78,,,,,,,A62CD2EFD8CA26C893DA4C420FE08816,273,,
,,2021-11-24,154,,,,,,,,,,,,,,,,,,,,,G03FA12,233,,,591443,283,,,,,CIPROFLOXACIN ORION,333,0,120/0,015 mg/24 h,78,,,,,,,8C485C17C51B16BB1E048821F6DD8114,272,,
,,2021-02-18,154,,,,,,,,,,,,,,,,,,,,,C07AB03,232,,,015095,280,,,,,ASASANTIN RETARD,332,68 mg,76,,,,,,,14EEB7E4FBD7919A071B29D9030759C6,272,,
,,2019-03-28,154,,,,,,,,,,,,,,,,,,,,,J01EE01,231,,,004378,280,,,,,CETRAXAL COMP,332,6000 IU (60 mg)/0,6 ml,76,,,,,,,C595BF2C23C9353A327DE05B9EB2DCC8,270,,
,,2019-09-24,154,,,,,,,,,,,,,,,,,,,,,G03DA04,227,,,100099,280,,,,,SEROQUEL PROLONG,331,2,25 mg/ml,76,,,,,,,5ABADACCAF5C459F615145E9046C21B0,270,,
,,2023-02-09,154,,,,,,,,,,,,,,,,,,,,,N01BB02,226,,,4378,279,,,,,INHIXA,329,5 MG,75,,,,,,,16AFFEEE3E30908A18997BA0650DAFF4,268,,
,,2017-10-11,154,,,,,,,,,,,,,,,,,,,,,A09AA02,225,,,573790,277,,,,,IMODIUM,329,12 mg/ml,75,,,,,,,7B91F222D983CCEFC75EEDF44F5696AB,267,,
,,2017-09-06,154,,,,,,,,,,,,,,,,,,,,,S01GX08,225,,,453,276,,,,,PRADAXA,329,80/25 mg,74,,,,,,,D875CBF850F4C2726EA39F446378D0E4,261,,
,,2015-01-27,154,,,,,,,,,,,,,,,,,,,,,J01AA07,221,,,116160,276,,,,,VENLAFAXIN ACTAVIS,328,10 mg/g+0,25 mg/g,74,,,,,,,E18CAB69987DFACC8689599C3AF70EDF,261,,
,,2021-12-09,154,,,,,,,,,,,,,,,,,,,,,C07AB12,221,,,016395,275,,,,,ABILIFY,328,12,5/50 mg,74,,,,,,,DD413AD0C661DF5C568A9A54ECF8AC7F,261,,
,,2016-05-31,154,,,,,,,,,,,,,,,,,,,,,D01AE16,220,,,482026,274,,,,,KEFALEKSIINI,327,20/10 mg,74,,,,,,,439CD696D631782A46AEB34793171B1B,259,,
,,2018-02-07,154,,,,,,,,,,,,,,,,,,,,,A02BA02,218,,,141238,274,,,,,INNOVAIR,326,2.5 mg/g,73,,,,,,,DB5280D8E647B7C021DFBF87A3C79F92,259,,
,,2019-01-29,154,,,,,,,,,,,,,,,,,,,,,G03AA09,214,,,32214,274,,,,,EZETIMIBE ORION,326,5000 IU,73,,,,,,,1FBBC796D23626EC4C561CAC0F96A24A,259,,
,,2018-01-30,153,,,,,,,,,,,,,,,,,,,,,A06AD65,214,,,176909,274,,,,,TRAMADOLI,325,10 MG,71,,,,,,,F6ECAAF4B4165E73E1DF0ECFC6BCDCF2,258,,
,,2022-06-10,153,,,,,,,,,,,,,,,,,,,,,S01BA07,214,,,5145,273,,,,,MIRTAZAPIN KRKA,324,1/5 mg,71,,,,,,,F7A186C39BFB184F46424E62AA899E62,257,,
,,2015-11-30,153,,,,,,,,,,,,,,,,,,,,,N05AB03,212,,,481705,270,,,,,LITO,322,1 mg/72 h,71,,,,,,,68707E9278EC5E975740F77977396299,257,,
