APPROX_BIRTH_DATE,Frequency,BL_YEAR,Frequency,BL_AGE,Frequency,SEX,Frequency,HEIGHT,Frequency,HEIGHT_AGE,Frequency,WEIGHT,Frequency,WEIGHT_AGE,Frequency,BMI,Frequency,SMOKE2,Frequency,SMOKE3,Frequency,SMOKE5,Frequency,CURRENT_SMOKER,Frequency,EVER_SMOKER,Frequency,SMOKE_AGE,Frequency,regionofbirth,Frequency,regionofbirthname,Frequency,movedabroad,Frequency,NUMBER_OF_OFFSPRING,Frequency,COHORT,Frequency,DEATH,Frequency,DEATH_APPROX_EVENT_DAY,Frequency,DEATH_FU_AGE,Frequency,AGE_AT_DEATH_OR_END_OF_FOLLOWUP,Frequency
,,1983,165,60.6,146,,,152,2252,56.15,57,59,4087,62.29,56,26.4,2905,,,,,,,,,,,,,,,,,,,,,,,,,,,77.56,150,77.56,150
,,1975,159,64.42,146,,,150,1827,56.26,57,98,4071,56.6,56,26.2,2903,,,,,,,,,,,,,,,,,,,,,,,,,,,77.69,149,77.69,149
,,List truncated...,,64.67,146,,,189,1543,55.11,57,56,4012,55.88,56,25.3,2903,,,,,,,,,,,,,,,,,,,,,,,,,,,56.86,148,56.86,148
,,,,57.34,146,,,191,1044,55.76,57,57,3928,57.4,56,22.9,2896,,,,,,,,,,,,,,,,,,,,,,,,,,,56.99,148,56.99,148
,,,,58.9,146,,,192,979,55.79,57,96,3886,59.33,56,25.8,2894,,,,,,,,,,,,,,,,,,,,,,,,,,,57.09,148,57.09,148
,,,,60.59,146,,,151,953,59.73,57,55,3776,58.81,55,24.4,2894,,,,,,,,,,,,,,,,,,,,,,,,,,,56.8,148,56.8,148
,,,,60.92,146,,,193,740,60.06,57,91,3752,58.87,55,23.8,2881,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1,147,37.1,147
,,,,63.45,145,,,148,656,59.33,57,54,3238,58.38,55,25.9,2877,,,,,,,,,,,,,,,,,,,,,,,,,,,56.97,147,56.97,147
,,,,56.57,145,,,149,555,58.88,56,110,3130,64.26,55,30.5,2846,,,,,,,,,,,,,,,,,,,,,,,,,,,57.13,147,57.13,147
,,,,56.05,145,,,194,495,51.16,56,97,3101,57.58,55,24.0,2831,,,,,,,,,,,,,,,,,,,,,,,,,,,56.78,146,56.78,146
,,,,56.49,145,,,195,443,55.58,56,105,3072,57.72,55,24.3,2815,,,,,,,,,,,,,,,,,,,,,,,,,,,57.2,146,57.2,146
,,,,60.08,145,,,147,351,61.98,56,102,2636,57.89,55,24.6,2734,,,,,,,,,,,,,,,,,,,,,,,,,,,56.67,145,56.67,145
,,,,60.17,145,,,146,343,61.56,56,52,2589,63.65,55,31.6,2731,,,,,,,,,,,,,,,,,,,,,,,,,,,56.69,145,56.69,145
,,,,57.52,144,,,196,321,58.7,56,53,2420,62.55,55,24.1,2672,,,,,,,,,,,,,,,,,,,,,,,,,,,56.84,145,56.84,145
,,,,56.24,144,,,145,274,60.15,56,99,2300,55.59,55,26.1,2636,,,,,,,,,,,,,,,,,,,,,,,,,,,37.07,145,37.07,145
,,,,56.34,144,,,144,217,56.61,55,103,2251,61.93,55,22.5,2633,,,,,,,,,,,,,,,,,,,,,,,,,,,67.85,145,67.85,145
,,,,57.4,144,,,142,212,62.19,55,104,2146,61.96,55,23.0,2627,,,,,,,,,,,,,,,,,,,,,,,,,,,77.68,145,77.68,145
,,,,62.2,143,,,197,178,55.97,55,50,2012,61.12,55,22.0,2561,,,,,,,,,,,,,,,,,,,,,,,,,,,56.94,144,56.94,144
,,,,56.3,143,,,198,176,55.65,55,108,1839,58.7,55,26.5,2516,,,,,,,,,,,,,,,,,,,,,,,,,,,37.36,143,37.36,143
,,,,57.21,142,,,140,164,55.75,55,106,1812,66.85,55,22.8,2501,,,,,,,,,,,,,,,,,,,,,,,,,,,57.04,143,57.04,143
,,,,56.48,142,,,143,157,53.15,55,115,1714,59.57,55,28.0,2477,,,,,,,,,,,,,,,,,,,,,,,,,,,57.18,143,57.18,143
,,,,54.2,142,,,141,110,58.79,54,101,1703,59.56,55,22.3,2473,,,,,,,,,,,,,,,,,,,,,,,,,,,56.43,142,56.43,142
,,,,62.26,142,,,138,99,58.05,54,120,1691,59.73,55,23.2,2452,,,,,,,,,,,,,,,,,,,,,,,,,,,75.58,142,75.58,142
,,,,61.34,142,,,200,87,57.81,54,107,1553,60.08,55,27.0,2451,,,,,,,,,,,,,,,,,,,,,,,,,,,56.83,141,56.83,141
,,,,66.87,142,,,139,82,56.69,54,51,1531,59.17,55,28.3,2331,,,,,,,,,,,,,,,,,,,,,,,,,,,56.91,141,56.91,141
,,,,65.19,142,,,136,74,50.16,54,112,1240,58.91,54,22.7,2323,,,,,,,,,,,,,,,,,,,,,,,,,,,56.45,141,56.45,141
,,,,64.57,141,,,137,73,62.24,54,109,1096,58.32,54,21.5,2320,,,,,,,,,,,,,,,,,,,,,,,,,,,74.83,141,74.83,141
,,,,62.6,141,,,134,71,55.6,54,48,1048,58.55,54,32.0,2290,,,,,,,,,,,,,,,,,,,,,,,,,,,77.72,141,77.72,141
,,,,62.15,141,,,135,60,55.16,54,114,1043,58.67,54,22.1,2286,,,,,,,,,,,,,,,,,,,,,,,,,,,76.64,139,76.64,139
,,,,60.22,141,,,130,51,55.43,54,49,918,64.46,54,27.3,2254,,,,,,,,,,,,,,,,,,,,,,,,,,,37.13,139,37.13,139
,,,,65.42,140,,,List truncated...,,55.73,54,116,903,64.52,54,23.6,2252,,,,,,,,,,,,,,,,,,,,,,,,,,,75.06,139,75.06,139
,,,,58.79,140,,,,,55.71,54,113,898,61.0,54,30.4,2249,,,,,,,,,,,,,,,,,,,,,,,,,,,56.4,139,56.4,139
,,,,64.46,140,,,,,54.25,54,118,877,61.7,54,22.6,2245,,,,,,,,,,,,,,,,,,,,,,,,,,,36.91,139,36.91,139
,,,,57.62,140,,,,,54.33,54,130,864,64.98,54,30.8,2227,,,,,,,,,,,,,,,,,,,,,,,,,,,57.11,138,57.11,138
,,,,57.78,140,,,,,54.85,54,111,852,66.3,54,21.6,2226,,,,,,,,,,,,,,,,,,,,,,,,,,,77.22,138,77.22,138
,,,,67.06,140,,,,,59.88,54,125,836,56.17,54,26.7,2223,,,,,,,,,,,,,,,,,,,,,,,,,,,76.12,137,76.12,137
,,,,55.38,140,,,,,59.96,54,117,725,56.8,54,23.3,2191,,,,,,,,,,,,,,,,,,,,,,,,,,,57.23,137,57.23,137
,,,,65.61,139,,,,,59.99,54,47,646,61.01,54,30.9,2095,,,,,,,,,,,,,,,,,,,,,,,,,,,57.21,137,57.21,137
,,,,64.75,139,,,,,60.04,54,46,608,66.36,54,22.2,2080,,,,,,,,,,,,,,,,,,,,,,,,,,,57.27,137,57.27,137
,,,,63.7,139,,,,,53.17,54,119,532,60.34,54,29.3,2039,,,,,,,,,,,,,,,,,,,,,,,,,,,56.73,136,56.73,136
,,,,63.63,139,,,,,58.33,53,122,532,60.45,54,21.8,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,56.48,136,56.48,136
,,,,58.04,138,,,,,58.53,53,45,482,60.44,54,20.8,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,63.09,136,63.09,136
