DELIVERY_YEAR,Frequency,APPROX_DELIVERY_DATE,Frequency,PARITY,Frequency,NRO_CHILD,Frequency,NRO_FETUSES,Frequency,CHILD_SEX,Frequency,MOTHER_AGE,Frequency,MOTHER_WEIGHT,Frequency,MOTHER_HEIGHT,Frequency,SMOKING,Frequency,DURATION_WEEKS,Frequency,DURATION_DAYS,Frequency,ORDER,Frequency,SDIAG1,Frequency,SDIAG2,Frequency,SDIAG3,Frequency,SDIAG4,Frequency,SDIAG5,Frequency,SDIAG6,Frequency,SDIAG7,Frequency,SDIAG8,Frequency,SDIAG9,Frequency,SDIAG10,Frequency,RDIAG1,Frequency,RDIAG2,Frequency,RDIAG3,Frequency,RDIAG4,Frequency,RDIAG5,Frequency,RDIAG6,Frequency,RDIAG7,Frequency,RDIAG8,Frequency,RDIAG9,Frequency,RDIAG10,Frequency,MATUR_THREAT,Frequency,INSEM,Frequency,IVF,Frequency,ICSI,Frequency,PAS,Frequency,GAMETE_DONAT,Frequency,RKOURIS,Frequency,MOTHER_BLOOD_PRES,Frequency,MOTHER_BLEEDING,Frequency,OTHER_PREG_DIAB_THREAT,Frequency,DIABETES,Frequency,GLUC,Frequency,GLUC_PATOL,Frequency,INS_THREAT_INIT,Frequency,PREM,Frequency
2000,7912,,,,,,,,,,,27.4,395,74,1919,177,1079,,,,,,,,,6440B,404,O750,457,O365,257,O992,123,O992,57,,,,,,,,,,,O366,566,O471,350,O410,189,O368,120,Z364,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,7864,,,,,,,,,,,27.74,393,78,1787,154,826,,,,,,,,,O720,396,O235,435,E6601,256,O235,121,O640,56,,,,,,,,,,,O365,561,O992,301,Z352,187,Z718,112,O249,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,7757,,,,,,,,,,,29.33,393,50,1623,153,793,,,,,,,,,O342,385,O365,427,Z302,250,O411,118,Z302,54,,,,,,,,,,,O471,524,O993,297,Z718,170,O410,109,O471,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,7662,,,,,,,,,,,26.11,393,71,1590,180,758,,,,,,,,,O701,357,O13,401,O240,240,Z372,110,E669,50,,,,,,,,,,,O140,520,O410,294,O368,167,E039,107,O2682,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,7501,,,,,,,,,,,28.07,393,76,1589,152,545,,,,,,,,,6611B,344,O700,377,O321,228,O630,107,O365,50,,,,,,,,,,,O288,468,O100,286,Z364,167,O9989,106,Z352,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,7451,,,,,,,,,,,25.57,392,85,1468,179,437,,,,,,,,,O842,337,O702,342,O411,216,O993,107,List truncated...,,,,,,,,,,,,Z321,436,O266,284,E039,158,O149,98,O9989,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,7413,,,,,,,,,,,27.67,392,77,1449,150,304,,,,,,,,,O640,330,O240,321,O235,213,O808,100,,,,,,,,,,,,,6424A,414,Z352,280,O9989,155,Z352,97,R103,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,7278,,,,,,,,,,,26.08,392,82,1350,181,256,,,,,,,,,O321,320,O429,318,O429,210,O800,95,,,,,,,,,,,,,E6601,393,O9989,271,R104,152,Z364,90,O368,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,7263,,,,,,,,,,,28.44,392,90,1167,182,234,,,,,,,,,6510B,312,Z302,293,O410,182,O429,94,,,,,,,,,,,,,O100,392,O368,238,O100,150,O2682,87,O266,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,7182,,,,,,,,,,,25.9,391,51,1126,151,172,,,,,,,,,O366,311,V252A,286,O702,181,O249,91,,,,,,,,,,,,,O149,371,Z718,231,O288,144,O479,85,O149,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
